ags,municipality,airport,conveyance_capacity_inland_pkm,transport_capacity_inland_tkm,flight_kilometer_inland_km,eev_kerosene_inland_mwh,eev_petrol_inland_mwh,ghg_inland_tco2e,conveyance_capacity_overseas_pkm,transport_capacity_overseas_tkm,flight_kilometer_overseas_km,eev_kerosene_overseas_mwh,ghg_overseas_tco2e,sum_ghg_tco2e
01054076,Leck,Leck,25686.179095857093,3.057878463792511,1915.7681964743213,143.33821171048734,1.8946887496098848,38.27884409833015,0.0,0.0,0.0,0.0,0.0,38.27884409833015
01054113,Sankt Peter-Ording,St. Peter-Ording,52448.02489753347,6.243812487801604,3911.763508757676,292.679034452894,3.8687218656294258,78.16070116251093,0.0,0.0,0.0,0.0,0.0,78.16070116251093
01054164,Wyk auf Föhr,Wyk auf Föhr,56954.69747536256,6.780321128019351,4247.887459474831,317.8279048107629,4.201147400759536,84.8767727263335,0.0,0.0,0.0,0.0,0.0,84.8767727263335
01054168,Sylt,Sylt-Westerland,139614.12002426875,16.620728574317706,10412.92634155862,779.0975146256669,10.298351557446365,208.06002770558075,0.0,0.0,0.0,0.0,0.0,208.06002770558075
01054000,Nordfriesland Kreis,Nordfriesland Kreis,338983.3801545675,40.35516430411518,25282.607288922485,1891.6504214038175,25.004419469580853,505.17018947962345,0.0,0.0,0.0,0.0,0.0,505.17018947962345
01055018,Grube,Grube,75853.04873794621,9.030124849755502,5657.394890671461,423.2875710439662,5.595145838198144,113.04005224705436,0.0,0.0,0.0,0.0,0.0,113.04005224705436
01055039,Sierksdorf,Sierksdorf/Hof Altona,22514.816911458853,2.6803353466022446,1679.236527451138,125.64085849569072,1.6607596693331412,33.55271966452909,0.0,0.0,0.0,0.0,0.0,33.55271966452909
01055000,Ostholstein Kreis,Ostholstein Kreis,98367.86564940508,11.710460196357747,7336.631418122599,548.9284295396569,7.255905507531286,146.59277191158344,0.0,0.0,0.0,0.0,0.0,146.59277191158344
01056024,Heist,Uetersen,429543.3891979395,51.13611776165946,32036.90050436228,2397.0081743152327,31.684394317483434,640.127298311498,0.0,0.0,0.0,0.0,0.0,640.127298311498
01056025,Helgoland,Helgoland,85738.05484487172,10.206911291056157,6394.6544204337815,478.4494965614317,6.3242932053765335,127.77118864013016,0.0,0.0,0.0,0.0,0.0,127.77118864013016
01056048,Tornesch,Ahrenlohe,30897.59882577467,3.678285574496985,2304.4547403077395,172.41982722719993,2.2790985248014937,46.04516553633071,0.0,0.0,0.0,0.0,0.0,46.04516553633071
01056000,Pinneberg Kreis,Pinneberg Kreis,546179.0428685858,65.0213146272126,40736.00966510381,3047.8774981038646,40.287786047661456,813.9436524879588,0.0,0.0,0.0,0.0,0.0,813.9436524879588
01058075,Hörsten,Rendsburg-Schachtholm,88186.12389949492,10.498348083273203,6577.240270206064,492.1106113237309,6.504870039274371,131.4194250451696,0.0,0.0,0.0,0.0,0.0,131.4194250451696
01058000,Rendsburg-Eckernförde Kreis,Rendsburg-Eckernförde Kreis,88186.12389949492,10.498348083273203,6577.240270206064,492.1106113237309,6.504870039274371,131.4194250451696,0.0,0.0,0.0,0.0,0.0,131.4194250451696
01059053,Kropp,Schleswig-Kropp,76279.60622473662,9.080905502944836,5689.209091768147,425.6679167980032,5.6266099834985255,113.6757298024779,0.0,0.0,0.0,0.0,0.0,113.6757298024779
01059000,Schleswig-Flensburg Kreis,Schleswig-Flensburg Kreis,76279.60622473662,9.080905502944836,5689.209091768147,425.6679167980032,5.6266099834985255,113.6757298024779,0.0,0.0,0.0,0.0,0.0,113.6757298024779
01060031,Hagen,"Hagen, Hof Wahl",5359.787551409891,0.6380699465964156,399.7523529105262,29.90956186594284,0.3953538257308713,7.987426674669611,0.0,0.0,0.0,0.0,0.0,7.987426674669611
01060036,Hasenmoor,Hartenholm,13037.822313637207,1.5521217040044295,972.4079726508648,72.75578543860837,0.961708441137725,19.42962267229321,0.0,0.0,0.0,0.0,0.0,19.42962267229321
