ags,municipality,airport,conveyance_capacity_inland_pkm,transport_capacity_inland_tkm,flight_kilometer_inland_km,flight_kilometer_share_inland,eev_kerosene_inland_mwh,eev_petrol_inland_mwh,ghg_inland_tco2e,conveyance_capacity_overseas_pkm,transport_capacity_overseas_tkm,flight_kilometer_overseas_km,flight_kilometer_share_overseas,eev_kerosene_overseas_mwh,ghg_overseas_tco2e,sum_ghg_tco2e
03459013,Bohmte,Bohmte-Bad Essen,87889.38826,10.46302241,6555.108652,0.002092604,490.4547186,6.482981938,130.9772146,0,0,0,0,0,0,130.9772146
03459014,Bramsche,Achmer,82140.13517,9.778587521,6126.30855,0.001955718,458.3717976,6.05889998,122.4093867,0,0,0,0,0,0,122.4093867
03459024,Melle,Melle-Grönegau,78542.2155,9.35026375,5857.96268,0.001870053,438.2940986,5.793506754,117.0475847,0,0,0,0,0,0,117.0475847
03460002,Damme,Damme,288946.3324,34.3983729,21550.66318,0.006879675,1612.425515,21.31353843,430.6024484,0,0,0,0,0,0,430.6024484
03462001,Blomberg,Blomberg-Borkhausen,29933.20799,3.563477141,2232.526981,0.000712695,167.038176,2.207962196,44.6079815,0,0,0,0,0,0,44.6079815
03462007,Langeoog,Langeoog,64614.18626,7.692165031,4819.159853,0.001538433,360.5706351,4.76613401,96.29133057,0,0,0,0,0,0,96.29133057
03462019,Wittmund,Wittmundhafen,179562.156,21.37644714,13392.39544,0.004275289,1002.022069,13.24503717,267.5926127,0,0,0,0,0,0,267.5926127
04011000,Bremen,Bremen,206069028.1,44008.21763,2611419.368,0.025497768,195386.9904,2582.68558,52178.60649,1339000000,186000,10281448,0.007033215,797236.446,210248.4711,262427.0776
0500000,Nordrhein-Westfalen,Nordrhein-Westfalen,1775573936,10019901.66,20513743.57,0.362916327,1534842.955,20288.02818,409883.8228,33331000000,1518447000,243107703,0.166302335,18850877.92,4971383.688,5381267.511
05111000,Düsseldorf,Düsseldorf,885063482.9,128007.5575,9366476.783,0.087196082,700801.9209,9263.41622,187150.9848,20563000000,226935000,131224870,0.089766807,10175341.94,2683457.456,2870608.44
05114000,Krefeld,Krefeld-Egelsberg,104710.59,12.46554643,7809.694756,0.002493109,584.323136,7.723763668,156.0450208,0,0,0,0,0,0,156.0450208
05116000,Mönchengladbach,Mönchengladbach,394380.2155,46.95002566,29414.30375,0.009390005,2200.78489,29.09065434,587.7253572,0,0,0,0,0,0,587.7253572
05117000,Mülheim an der Ruhr,Essen/Mülheim,540707.9795,64.36999755,40327.95796,0.012874,3017.346976,39.88422418,805.7903969,0,0,0,0,0,0,805.7903969
05154016,Goch,Goch-Asperden,107028.8372,12.74152824,7982.598023,0.002548306,597.2597977,7.894764458,159.4997901,0,0,0,0,0,0,159.4997901
05154064,Weeze,Niederrhein,4050797.433,6.047313439,68647.65638,0.001803093,5136.233247,67.89231728,1371.644514,1369000000,0,8509463,0.005821056,659834.4941,174012.6085,175384.253
05166008,Grefrath,Grefrath-Niershorst,187407.1045,22.31036959,13977.50009,0.004462074,1045.799732,13.82370384,279.2835521,0,0,0,0,0,0,279.2835521
05170016,Hünxe,Schwarzheide,479765.8968,57.11498771,35782.67688,0.011422998,2677.268014,35.38895543,714.9714209,0,0,0,0,0,0,714.9714209
05170020,Kamp-Lintfort,Kamp-Lintfort,48293.7259,5.749253083,3601.920855,0.001149851,269.4965367,3.562288451,71.96975454,0,0,0,0,0,0,71.96975454
05170048,Wesel,Wesel-Römerwardt,48442.09372,5.766915919,3612.986664,0.001153383,270.324483,3.573232501,72.19085977,0,0,0,0,0,0,72.19085977
05315000,Köln,Leverkusen-Kurtekotten,717286628.1,9890034.122,7338858.76,0.073798693,549095.0798,7258.108342,146637.2763,8851000000,1291404000,85302633,0.058352849,6614473.756,1744379.602,1891016.878
05334036,Würselen,Aachen-Merzbrück,441320.085,52.53810536,32915.2491,0.010507621,2462.726416,32.55307833,657.6775265,0,0,0,0,0,0,657.6775265
05358052,Nörvenich,Nörvenich,81806.30758,9.73884614,6101.41048,0.001947769,456.5089183,6.034275866,121.9118999,0,0,0,0,0,0,121.9118999
05366012,Dahlem (NRW),Dahlemer Binz,181657.8514,21.6259347,13548.69999,0.004325187,1013.716811,13.39962188,270.7157241,0,0,0,0,0,0,270.7157241
