ags,chem_ammonia,chem_basic,chem_other,metal_nonfe,metal_steel_primary,metal_steel_secondary,miner_cement,miner_ceram,miner_chalk,miner_glas,other_food,other_further,other_paper,sum,count_chem_ammonia,count_chem_basic,count_chem_other,count_metal_nonfe,count_metal_steel_primary,count_metal_steel_secondary,count_miner_cement,count_miner_ceram,count_miner_chalk,count_miner_glas,count_other_food,count_other_further,count_other_paper,count_sum
03459003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16851.0,0.0,0.0,0.0,0.0,0.0,16851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03459005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11958.0,0.0,0.0,0.0,0.0,0.0,11958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03459014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17715.0,0.0,0.0,0.0,0.0,0.0,17715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03459019,0.0,0.0,0.0,0.0,0.0,179673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179673,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
03459020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11966.0,0.0,0.0,0.0,0.0,0.0,11966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
03459024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11808.0,0.0,0.0,0.0,0.0,0.0,11808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03459028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75693.0,75693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
03459033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5135.0,0.0,0.0,0.0,0.0,0.0,5135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03460009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13363.0,0.0,0.0,0.0,0.0,0.0,13363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03461002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16513.0,0.0,0.0,16513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03461004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17608.0,17608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
03461007,0.0,134886.0,0.0,63053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197939,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
03462011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2947.0,0.0,0.0,0.0,0.0,0.0,2947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
04011000,0.0,0.0,39191.0,0.0,5102400.0,705774.0,0.0,0.0,0.0,0.0,22479.0,10153.0,0.0,5879997,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9
04012000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29455.0,0.0,0.0,0.0,0.0,0.0,29455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
05111000,0.0,1773.0,364000.0,0.0,0.0,0.0,0.0,0.0,0.0,97050.0,0.0,63818.0,40335.0,566976,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7
05112000,0.0,152907.0,0.0,44513.0,13436162.0,6505355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20138937,0.0,4.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
05113000,0.0,11687.0,0.0,295839.0,0.0,0.0,0.0,0.0,0.0,175307.0,0.0,0.0,0.0,482833,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5
05114000,27176.0,347795.0,0.0,0.0,0.0,70526.0,0.0,0.0,0.0,0.0,203592.0,8747.0,0.0,657836,1.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,21
