ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
DG000000,35759189,3370892,1810421,18058988,10669894,440797,74449,80130,39259,394291,820067,383768
01000000,1580430,145903,69767,1080065,162582,6173,2180,8739,4350,23882,76790,11126
01001000,5673,2249,786,1267,373,8,114,4,5,50,818,293
01002000,11865,5293,1652,2851,652,152,2,35,41,97,1089,496
01003000,21419,6146,1996,6492,3158,157,35,2,175,343,2915,949
01004000,7166,2986,724,2708,311,22,2,192,12,23,185,339
01051000,142817,10452,5731,107517,5203,257,88,387,279,6022,6880,1018
01051001,1712,241,98,1072,252,0,0,0,0,30,18,9
01051002,692,28,36,445,172,3,0,0,0,4,3,-
01051003,906,47,17,670,39,0,0,0,40,19,74,1
01051004,1190,87,46,959,61,1,0,9,0,16,11,14
01051005,511,22,13,416,4,0,0,0,0,46,11,0
01051006,2288,89,60,1739,91,0,0,0,0,236,74,1
01051008,264,7,5,215,3,0,0,0,0,5,29,-
01051010,607,26,41,461,58,5,0,0,2,6,10,2
01051011,6521,1070,371,2959,7,37,0,0,0,158,1919,422
01051012,1456,89,54,1121,91,0,0,0,0,41,60,0
01051013,848,263,82,415,1,2,0,0,0,26,59,24
01051014,287,24,14,242,2,0,0,0,0,0,6,-
01051015,1175,111,44,781,196,1,0,0,0,12,31,0
01051016,1125,196,66,584,59,0,0,0,0,123,96,8
01051017,1009,34,29,644,0,0,0,0,0,251,52,2
01051019,2177,74,55,1676,19,0,0,169,0,110,74,0
01051020,1584,60,49,1190,4,0,0,0,0,147,133,1
01051021,746,49,28,653,1,0,0,0,0,0,15,0
01051022,701,56,24,568,38,0,0,0,0,4,11,1
01051023,782,53,29,543,10,0,0,0,0,136,11,1
01051024,921,99,34,763,6,1,0,0,0,5,13,5
01051026,1279,66,45,1094,30,1,1,0,0,20,21,1
01051027,3017,95,79,1773,42,0,10,0,0,783,235,2
01051028,1352,59,51,1195,2,0,0,0,0,15,29,1
01051030,969,31,31,823,15,8,1,24,0,18,17,2
01051032,1033,41,33,833,102,0,0,0,0,13,11,1
01051033,862,47,23,742,1,0,0,0,0,10,38,-
01051034,5327,292,160,3954,2,0,0,0,0,811,107,12
01051035,645,41,21,475,54,1,0,1,0,46,6,1
01051036,469,31,19,374,21,0,0,0,4,11,8,9
01051037,1040,46,41,769,150,15,0,0,0,8,11,-
01051038,790,27,20,699,0,0,0,0,0,2,42,1
01051039,604,51,25,413,108,1,0,0,0,1,5,8
01051043,1636,38,44,1403,1,14,0,0,0,96,39,0
01051044,3197,843,272,1697,176,20,0,66,0,29,94,50
01051045,702,26,19,634,0,0,0,0,0,3,19,-
01051046,1144,79,47,980,11,0,0,0,0,3,24,2
01051047,1653,74,81,1447,1,0,0,17,0,1,31,0
01051048,1601,248,99,1171,4,0,0,0,4,53,21,83
01051049,2193,257,78,1601,42,0,0,1,2,92,120,14
01051050,360,14,12,327,0,0,0,0,0,0,7,0
01051051,546,79,35,296,52,1,0,0,0,36,48,2
01051052,294,17,11,238,8,0,0,0,0,9,10,-
01051053,974,31,30,767,34,0,0,0,0,91,21,-
01051054,309,14,13,277,1,0,2,0,0,1,1,-
01051057,1305,58,30,1026,0,0,0,0,0,169,22,4
01051058,1755,32,39,1191,1,0,0,0,0,6,485,3
01051060,1281,44,30,1065,13,0,0,0,24,20,83,1
01051061,482,36,17,364,9,0,0,0,0,48,8,2
01051062,2884,119,78,2376,0,0,0,0,0,267,45,2
01051063,1589,66,55,1192,200,0,13,0,0,43,20,0
01051064,1137,55,45,853,80,10,0,0,11,30,53,-
01051065,1863,89,45,1587,2,0,0,0,1,12,127,0
01051067,466,105,16,325,6,1,0,0,0,4,9,75
01051068,1162,74,44,971,33,0,0,3,0,26,11,1
01051069,539,102,44,364,8,2,0,0,0,9,10,13
01051071,465,77,25,280,35,0,0,0,22,15,12,7
01051072,483,249,53,173,0,0,0,0,0,1,7,33
01051073,131,20,5,102,0,0,0,0,0,1,3,1
01051074,2126,379,123,1344,8,2,0,0,0,93,177,47
01051075,2514,112,92,2229,2,5,0,0,0,23,52,4
01051076,1040,56,39,928,0,0,0,0,0,1,16,0
01051077,977,25,25,885,0,0,0,0,1,8,32,-
01051078,875,102,39,683,31,3,0,0,0,6,11,7
01051079,690,36,28,614,0,0,0,0,0,1,11,0
01051080,433,15,13,397,2,0,0,0,0,0,6,0
01051081,1847,58,84,1661,5,0,0,0,0,1,38,-
01051082,2656,193,139,1675,261,8,0,0,0,287,94,6
01051083,1127,37,30,647,359,0,0,0,0,36,17,1
01051084,464,24,30,398,0,0,0,0,0,1,10,0
01051085,1395,41,37,1003,42,26,0,10,2,187,47,2
01051086,1709,56,47,1427,56,36,0,1,0,56,30,0
01051087,666,71,33,431,61,4,0,26,0,2,38,3
01051088,1080,118,42,819,9,1,0,0,0,37,53,3
01051089,695,22,40,258,371,0,0,0,0,2,2,0
01051090,480,25,16,426,0,0,0,0,0,0,12,-
01051092,1463,63,47,936,42,1,0,0,7,330,36,4
01051093,683,32,24,604,1,0,0,0,0,0,22,0
01051096,1489,53,46,1301,4,0,0,0,2,14,70,1
01051097,2306,307,157,1630,128,4,23,0,0,21,36,17
01051098,1339,70,44,974,154,0,0,0,1,45,51,2
01051099,1816,133,109,1380,122,6,0,0,0,20,47,6
01051100,1252,111,46,957,37,0,0,57,0,34,9,5
01051102,1250,42,40,1121,9,0,0,0,0,6,32,0
01051103,591,29,19,531,1,0,0,0,0,1,10,2
01051104,501,13,16,386,42,3,37,0,1,1,3,-
01051105,927,56,32,809,0,0,0,0,0,0,30,0
01051107,1071,41,59,863,5,2,0,0,0,79,20,1
01051108,440,17,14,398,0,0,0,0,0,0,11,0
01051109,664,37,25,581,3,0,0,0,0,1,17,3
01051110,1574,70,61,1304,99,3,0,0,0,19,16,0
01051113,2177,118,101,1892,1,0,0,0,0,14,52,3
01051114,2110,182,88,1638,39,0,0,1,78,44,40,9
01051117,1268,25,24,1130,1,0,0,0,0,20,68,-
01051118,779,35,25,702,0,0,0,0,0,0,17,0
01051119,1678,60,55,1531,0,2,0,0,0,1,30,2
01051120,186,6,7,162,3,0,0,0,0,2,6,0
01051121,458,51,17,325,0,0,0,0,1,33,31,-
01051122,1789,162,99,1314,154,12,0,0,0,28,19,24
01051125,760,39,29,325,265,2,0,0,71,21,8,1
01051126,459,14,16,297,103,0,1,0,0,12,17,-
01051127,513,143,37,316,2,2,0,0,0,4,10,10
01051128,507,16,16,452,0,0,0,0,0,11,12,0
01051129,2189,45,45,1499,0,0,0,0,0,17,584,1
01051130,376,84,21,260,1,0,0,0,0,3,7,4
01051131,414,14,10,375,2,1,0,0,0,9,3,0
01051132,750,70,27,623,0,0,0,0,0,1,29,3
01051133,508,15,17,428,37,0,0,0,0,1,10,-
01051134,1731,84,60,1406,65,1,0,0,0,94,20,9
01051135,611,35,17,510,19,2,0,0,2,12,13,1
01051136,1145,70,54,971,10,1,0,0,0,13,26,1
01051137,3410,87,110,2969,3,0,0,0,1,82,158,2
01051138,1936,94,122,1396,186,0,0,0,0,104,34,7
01051139,1621,54,56,1415,73,0,0,0,0,2,21,-
01051140,1419,51,47,1292,0,0,0,0,0,0,28,1
01051141,844,55,25,724,24,0,0,0,0,3,11,0
01053000,126306,9998,5427,71396,32884,235,259,245,281,322,5258,715
01053001,418,5,11,151,250,0,0,0,0,0,1,-
01053002,644,68,54,428,76,2,0,0,0,0,15,15
01053003,348,166,41,20,115,1,0,0,0,0,5,5
01053004,430,42,16,256,111,0,0,0,1,0,3,0
01053005,650,23,19,463,140,0,0,0,0,0,4,1
01053006,747,40,28,561,88,0,0,0,0,13,17,-
01053007,1082,32,43,653,344,1,0,0,0,1,8,-
01053008,1025,36,30,677,196,1,0,0,2,4,78,0
01053009,1034,104,64,774,60,5,0,0,9,3,15,4
01053010,1265,16,87,673,479,0,0,0,0,0,10,0
01053011,1035,44,38,568,366,4,0,0,2,0,13,-
01053012,841,168,57,447,164,0,0,0,2,1,3,5
01053013,864,22,32,323,474,0,0,0,0,1,12,1
01053014,1254,140,54,1000,50,0,0,0,0,0,10,10
01053015,1069,31,33,536,436,27,0,0,1,0,5,0
01053016,429,11,15,103,300,0,0,0,0,0,1,-
01053017,1376,154,51,900,263,0,0,0,0,1,6,4
01053018,293,26,27,204,32,0,0,0,0,2,2,0
01053019,519,54,20,330,89,0,9,0,0,7,9,13
01053020,1685,327,137,863,221,2,89,0,3,4,39,42
01053021,204,15,8,172,7,0,0,0,0,0,1,-
01053022,605,28,39,426,67,2,0,0,4,1,39,0
01053023,794,186,44,511,47,0,0,0,0,5,2,4
01053024,301,12,6,267,14,0,0,1,0,0,1,-
01053025,1239,45,37,897,236,0,0,9,0,0,17,1
01053026,253,20,18,199,14,1,0,0,0,0,1,-
01053027,1299,167,60,707,306,45,2,0,2,0,11,22
01053028,891,201,61,497,106,0,10,0,6,2,8,1
01053029,911,53,34,577,202,1,0,1,1,14,30,2
01053030,1009,7,49,196,754,0,0,0,1,0,2,-
01053031,574,27,29,461,51,0,0,0,0,1,3,0
01053032,3325,1033,250,896,831,0,33,0,3,21,257,206
01053033,273,9,9,242,9,0,0,0,0,0,3,-
01053034,506,16,15,438,28,0,0,0,1,1,6,-
01053035,521,12,29,315,146,0,10,0,1,1,6,0
01053036,410,29,20,329,28,0,0,0,0,1,3,0
01053037,1266,113,83,210,781,8,9,16,0,7,39,1
01053038,274,18,8,228,19,0,0,0,0,1,2,0
01053039,270,13,12,238,2,0,0,0,0,0,4,0
01053040,599,8,21,220,341,0,0,0,3,2,4,0
01053041,490,132,35,253,59,0,0,0,1,2,7,0
01053042,431,42,12,338,33,0,0,0,0,1,4,-
01053043,1708,82,142,1222,202,3,5,1,4,7,42,1
01053044,652,37,19,546,38,1,0,0,0,2,8,0
01053045,528,21,20,441,43,0,0,0,0,2,2,-
01053046,4225,200,149,1908,1728,2,23,72,10,3,131,2
01053047,1707,72,53,1017,547,2,0,0,0,2,13,-
01053048,778,127,39,325,125,1,0,0,1,14,147,6
01053049,347,28,15,246,41,1,0,3,3,3,7,-
01053050,667,49,28,487,99,0,3,0,0,0,2,-
01053051,357,17,16,273,44,4,0,0,0,1,2,-
01053052,591,14,27,493,51,0,1,2,0,0,2,-
01053053,693,43,24,588,29,0,0,0,0,6,2,0
01053054,721,30,24,623,37,2,0,0,0,3,3,1
01053056,589,23,44,329,159,0,7,7,3,2,15,4
01053057,1205,32,31,799,306,0,0,7,2,7,22,-
01053058,603,15,20,470,92,0,0,0,0,0,6,1
01053059,421,17,19,362,18,0,0,1,0,2,2,-
01053060,789,39,58,563,126,0,0,0,0,0,4,1
01053061,690,76,25,557,24,4,0,0,0,2,3,11
01053062,1773,41,32,1106,395,0,0,3,0,1,195,-
01053064,417,41,15,298,58,0,0,0,1,0,5,2
01053066,911,29,20,772,79,0,0,0,0,5,6,0
01053067,1007,56,36,784,99,1,0,0,4,1,24,-
01053068,740,31,24,667,11,0,0,1,0,0,6,-
01053069,1198,45,38,669,420,2,0,1,1,10,14,2
01053070,152,19,6,110,11,1,0,0,1,0,4,-
01053071,821,39,24,628,125,0,0,0,0,0,6,0
01053072,837,59,41,492,239,0,0,0,0,1,5,1
01053073,824,30,36,683,66,0,0,0,0,3,6,0
01053074,794,23,30,573,164,0,0,0,0,0,4,-
01053075,335,71,18,217,19,0,0,0,0,5,5,1
01053076,735,76,40,558,54,0,0,0,0,1,6,1
01053077,728,26,28,570,85,0,0,0,3,2,12,1
01053078,607,17,14,532,36,0,0,0,2,1,4,-
01053079,575,51,20,494,4,0,0,0,0,0,5,0
01053080,2337,21,73,669,1523,0,34,11,2,0,4,0
01053081,1912,49,69,1079,625,1,1,0,5,0,84,1
01053082,904,47,32,752,20,0,0,0,0,7,46,1
01053083,956,383,95,323,33,3,0,0,0,2,117,59
01053084,1140,39,53,495,441,0,5,1,8,2,95,0
01053085,966,69,31,796,41,3,0,0,2,4,19,2
01053086,461,16,11,424,6,0,0,0,0,0,3,-
01053087,1124,45,35,900,137,0,0,0,0,1,7,3
01053088,443,16,10,400,10,0,0,1,0,0,5,-
01053089,747,39,43,592,61,6,0,1,0,1,4,6
01053090,2505,609,191,256,1266,1,2,8,3,1,166,74
01053091,374,17,14,309,30,0,0,0,0,0,3,3
01053092,1146,82,53,823,160,0,0,0,0,11,17,1
01053093,1188,52,31,804,196,20,0,2,6,1,75,1
01053094,399,15,19,302,51,3,0,0,0,1,8,-
01053095,841,42,24,615,156,0,0,0,0,0,4,-
01053096,622,63,26,471,46,3,0,0,0,0,12,2
01053097,1383,62,42,1091,130,6,5,9,3,15,22,2
01053098,451,31,34,328,45,1,0,0,7,3,1,-
01053099,544,17,20,367,133,0,2,0,0,2,2,-
01053100,3029,511,139,357,367,7,0,33,64,3,1548,39
01053101,1111,25,34,569,437,0,0,0,12,0,34,-
01053102,515,14,9,327,152,1,0,0,3,8,2,0
01053103,951,75,23,769,75,1,0,0,0,0,8,-
01053104,1624,53,61,824,659,3,0,1,1,4,18,1
01053106,594,25,21,469,42,16,0,0,8,9,5,0
01053107,2510,104,71,1205,909,3,0,0,12,26,179,1
01053108,613,81,23,503,3,0,0,0,0,0,2,2
01053109,815,36,21,685,69,0,0,0,0,0,2,1
01053110,1155,55,54,772,244,2,0,1,7,2,18,0
01053111,1302,64,40,391,649,0,0,0,0,3,155,-
01053112,1477,83,38,872,457,7,0,0,1,6,12,6
01053113,847,34,24,575,209,0,0,0,0,0,4,-
01053114,275,12,9,237,12,0,0,0,0,2,2,0
01053115,1138,35,42,837,211,0,0,0,0,1,13,0
01053116,1155,461,120,250,311,4,0,1,0,3,5,73
01053117,2788,70,39,1136,624,2,0,0,46,1,870,0
01053118,882,42,28,779,26,1,0,0,0,2,4,2
01053119,468,26,27,376,29,0,0,0,1,1,7,0
01053120,400,23,12,338,24,0,0,0,0,0,3,0
01053121,862,34,23,411,360,0,0,26,0,1,8,0
01053122,1629,39,28,951,581,0,0,1,4,0,25,0
01053123,2139,84,69,1352,597,1,0,0,1,1,33,4
01053124,533,33,15,477,5,0,0,0,0,0,3,-
01053125,488,29,21,342,93,1,0,0,1,0,2,0
01053126,674,25,38,361,234,0,6,0,0,3,6,1
01053127,351,15,6,312,16,0,0,0,0,0,1,-
01053128,652,20,18,538,69,0,0,0,0,0,6,0
01053129,687,456,77,74,73,0,0,0,2,0,5,38
01053130,499,46,18,421,4,2,0,0,0,1,8,1
01053131,515,51,19,416,23,0,0,0,0,4,2,-
01053132,1046,62,47,713,158,0,0,0,0,1,65,0
01053133,597,152,45,225,166,0,0,0,0,2,7,0
01053134,790,51,33,564,130,0,2,0,0,1,8,1
01053135,607,20,17,530,35,0,0,0,0,0,4,2
01053136,1118,58,39,595,358,12,0,23,2,0,31,4
01054000,208356,13901,9235,157902,8303,483,560,663,783,7953,8572,634
01054001,2990,148,102,2616,58,1,8,0,6,6,45,2
01054002,879,129,34,646,30,0,0,0,1,15,24,6
01054003,1011,49,31,911,4,1,0,7,0,1,9,4
01054004,729,26,29,591,11,0,0,64,0,0,7,1
01054005,907,43,40,792,2,2,0,0,8,1,20,3
01054006,570,35,30,479,8,0,0,0,0,1,16,1
01054007,557,54,15,457,3,0,0,0,4,4,19,1
01054009,1447,53,45,1039,136,2,0,0,34,42,96,1
01054010,1729,159,76,1300,123,8,4,0,7,1,50,1
01054011,1529,59,53,1380,11,2,0,0,0,7,16,1
01054012,1335,64,62,1006,173,1,0,2,1,8,19,1
01054013,918,23,30,799,48,0,0,0,0,3,15,0
01054014,3471,202,163,2783,222,2,18,0,7,10,63,6
01054015,551,36,24,472,4,1,0,0,0,4,10,1
01054016,633,29,25,565,1,0,0,0,2,0,11,0
01054017,1335,70,51,1031,140,13,0,0,6,1,23,2
01054018,1385,96,45,1173,43,1,0,0,2,2,22,1
01054019,975,255,82,545,67,3,0,0,8,4,12,32
01054020,1007,152,65,753,20,0,0,0,0,5,11,4
01054022,3692,127,164,2877,1,1,0,0,70,27,424,6
01054023,1633,60,34,1332,10,1,0,0,51,11,135,3
01054024,1770,109,74,1341,221,1,4,0,1,3,16,7
01054025,272,12,12,223,4,0,0,0,1,10,10,-
01054026,518,15,15,462,0,0,0,0,1,10,15,0
01054027,782,21,26,699,13,1,0,0,4,1,17,-
01054032,260,14,10,211,11,0,0,0,0,6,8,3
01054033,402,121,39,156,1,0,0,0,13,12,60,12
01054034,1349,53,42,1188,0,0,0,0,0,16,50,2
01054035,1489,51,38,1368,12,0,0,0,2,0,18,1
01054036,306,129,28,144,2,0,0,0,0,0,2,7
01054037,1018,37,35,910,23,0,0,0,0,0,12,1
01054038,1202,45,49,1041,44,0,2,1,3,2,15,-
01054039,252,1,1,184,0,0,0,0,0,57,9,-
01054040,327,10,11,296,0,0,0,0,0,3,8,0
01054041,1279,82,50,1085,8,0,0,11,4,22,17,8
01054042,701,129,52,484,27,2,1,0,0,0,5,4
01054043,3529,47,65,2158,1,0,0,0,27,398,832,0
01054045,1628,50,54,1420,68,0,0,0,5,1,30,1
01054046,564,132,28,0,0,0,0,0,0,399,6,1
01054048,400,13,14,355,6,0,0,0,3,0,9,1
01054050,578,12,13,505,0,0,0,0,0,5,42,1
01054052,1170,73,58,870,50,0,0,0,0,108,9,6
01054054,354,23,14,289,13,0,0,0,0,3,13,0
01054055,1699,89,66,1332,79,1,1,0,30,15,87,1
01054056,2580,1023,292,1020,118,6,2,0,4,68,48,89
01054057,1461,45,143,1072,157,0,0,28,1,2,13,-
01054059,1912,77,70,1653,93,0,1,0,0,6,12,1
01054061,843,155,47,97,51,2,104,0,37,334,15,1
01054062,1446,37,73,881,428,1,1,1,8,2,13,0
01054063,841,18,21,790,1,0,0,0,1,0,9,0
01054065,1063,87,78,860,8,0,0,0,5,0,25,1
01054068,1744,97,98,1501,10,2,0,0,1,7,28,1
01054070,2580,70,58,2300,1,3,0,0,11,53,84,0
01054071,210,9,6,184,7,0,0,0,0,3,0,-
01054072,777,26,25,708,0,2,0,0,0,0,16,-
01054073,2409,167,75,1984,111,28,0,0,1,1,42,3
01054074,1157,26,19,995,0,0,0,0,0,47,69,1
01054075,4740,334,228,3701,293,41,1,2,11,18,110,21
01054076,2979,394,384,1609,478,7,0,12,1,32,60,15
01054077,524,8,11,392,96,1,3,3,1,4,5,-
01054078,1842,164,59,105,4,0,2,0,12,1490,7,2
01054079,1962,119,81,1515,142,0,28,31,1,16,30,47
01054080,1071,34,38,748,223,0,2,0,4,1,19,-
01054083,850,28,34,704,2,1,0,0,3,51,27,1
01054084,871,172,56,562,67,0,1,0,0,4,9,9
01054085,1195,123,42,405,148,3,46,0,2,425,0,4
01054086,3158,142,116,2416,55,10,0,159,25,34,200,7
01054087,786,130,46,506,58,6,2,0,4,28,5,1
01054088,3063,515,210,2117,25,8,0,0,2,5,180,52
01054089,589,44,17,122,25,0,9,0,6,364,2,1
01054090,531,15,18,487,0,0,0,0,0,6,7,-
01054091,5726,231,137,4056,2,6,0,0,7,767,521,14
01054092,1350,41,44,1136,119,0,0,0,0,2,8,0
01054093,1864,47,67,1262,0,0,0,0,2,13,474,4
01054094,1087,37,47,928,14,1,0,0,13,14,33,0
01054095,4584,129,117,4132,5,3,0,0,1,22,173,2
01054096,1082,53,48,949,11,3,0,1,0,6,10,2
01054097,994,54,41,868,6,1,1,0,0,16,8,11
01054098,1331,48,61,1111,5,1,0,0,2,62,42,1
01054099,2767,124,88,2093,395,4,0,17,2,7,38,2
01054100,1850,59,47,1708,2,1,0,0,0,2,32,0
01054101,1129,68,52,874,126,0,0,0,1,1,6,6
01054103,3745,198,96,3277,2,2,0,8,2,71,89,1
01054104,1552,46,41,1442,2,0,0,0,3,3,15,-
01054105,542,39,18,443,22,0,0,0,0,5,14,1
01054106,1369,118,71,1131,26,4,0,0,0,5,13,4
01054108,4591,103,119,3540,0,0,0,0,0,201,627,7
01054109,3603,314,190,2934,26,2,1,1,16,5,113,15
01054110,1984,60,59,1615,2,1,0,0,18,102,126,3
01054113,2835,426,138,1551,69,30,2,0,3,541,73,9
01054116,1964,84,66,1245,156,101,0,205,2,36,70,2
01054118,1563,123,194,1089,123,0,21,0,2,4,7,0
01054119,1376,145,43,1057,7,7,16,15,19,11,56,0
01054120,1748,106,48,1472,0,1,0,0,9,41,70,0
01054121,429,24,20,363,2,0,0,0,0,18,3,0
01054123,1095,36,39,882,100,0,0,0,0,29,9,0
01054124,1137,37,36,927,111,0,0,7,0,0,19,-
01054125,1974,160,82,1361,339,0,1,0,5,0,25,8
01054126,1519,79,62,1317,2,2,0,0,9,1,49,2
01054128,892,69,49,739,2,0,0,1,0,3,29,7
01054129,259,22,12,213,5,1,0,0,0,0,5,0
01054130,260,6,12,198,17,1,0,0,0,7,19,-
01054131,2659,224,147,1524,597,13,65,32,10,2,46,11
01054132,3023,30,147,2561,28,5,0,0,3,165,84,1
01054134,2949,132,97,2574,4,0,0,0,3,81,58,1
01054135,3642,105,92,3331,2,0,0,0,11,5,96,1
01054136,891,28,80,725,43,1,0,0,2,0,13,0
01054138,4443,295,164,2665,312,1,1,31,1,188,783,28
01054140,620,26,17,547,0,0,0,0,1,11,17,0
01054141,1023,40,28,934,1,0,0,0,0,6,14,1
01054142,706,32,34,562,16,1,0,1,24,17,21,1
01054143,526,50,27,358,28,1,0,0,7,48,8,0
01054144,1896,174,77,1597,17,2,0,0,1,4,24,7
01054145,462,37,16,398,1,0,0,0,0,3,6,0
01054146,618,20,31,551,8,0,0,0,0,0,7,2
01054148,820,35,35,732,1,0,0,0,0,1,17,-
01054149,616,260,43,137,6,2,76,0,2,78,12,1
01054150,1332,38,32,1166,0,0,0,0,6,55,35,1
01054152,1854,81,68,1357,328,1,0,0,0,2,18,2
01054154,1914,63,68,1451,271,1,16,0,7,7,31,1
01054156,1888,64,54,1636,58,1,0,20,0,25,29,2
01054157,305,12,12,264,7,1,0,0,2,2,5,-
01054158,159,11,6,118,3,1,0,0,0,16,3,-
01054159,1991,70,61,1729,103,1,0,0,1,7,20,1
01054160,261,38,18,11,9,0,9,0,0,171,6,1
01054161,2814,98,91,2560,2,3,0,0,13,2,45,6
01054162,169,32,8,123,3,0,0,0,0,0,1,-
01054163,756,37,33,609,49,2,0,0,6,3,16,0
01054164,808,231,89,380,34,2,0,0,30,13,29,12
01054165,4905,100,138,4546,3,2,0,0,0,3,112,0
01054166,3573,163,141,3100,7,8,0,0,13,12,131,5
01054167,2482,159,90,1805,265,77,5,0,4,24,53,30
01054168,5731,930,807,2234,101,11,105,0,77,783,683,30
01055000,139302,12210,5279,99231,13447,704,18,156,649,1947,5662,483
01055001,9537,500,249,7299,1110,219,0,20,14,33,92,31
01055002,3664,140,94,2681,620,47,0,0,22,21,39,0
01055004,1839,544,159,912,186,4,0,0,2,3,29,34
01055006,854,43,45,731,20,1,0,0,0,0,14,0
01055007,6425,302,154,5334,495,13,0,0,5,15,106,0
01055010,911,121,44,577,110,1,0,2,0,37,20,0
01055011,924,41,54,554,269,0,0,0,0,0,5,0
01055012,4139,726,239,1635,912,8,0,0,8,21,589,36
01055014,2124,101,37,1869,55,2,0,0,4,37,18,2
01055015,4576,210,138,3808,92,18,0,9,13,251,37,6
01055016,5109,588,212,3831,350,4,0,0,11,47,65,7
01055017,2099,206,111,1580,41,4,0,0,0,43,114,17
01055018,2021,119,70,1699,55,2,0,0,25,23,30,7
01055020,1782,52,36,1233,420,1,0,0,3,3,34,1
01055021,1832,370,154,847,12,18,0,3,4,97,327,17
01055022,2955,137,69,2562,146,2,0,0,5,16,18,0
01055023,579,29,22,515,10,0,0,0,0,0,3,-
01055024,3392,186,79,1899,1045,13,0,5,16,7,143,3
01055025,817,95,40,211,456,0,0,0,0,11,4,0
01055027,2770,264,106,2061,294,2,0,1,3,1,38,23
01055028,6907,691,222,3474,1481,37,0,5,58,3,936,22
01055029,963,33,24,673,230,0,0,0,0,0,4,-
01055031,2860,217,70,2378,61,1,0,0,3,15,115,1
01055032,1973,639,179,848,45,8,0,16,5,30,203,36
01055033,3969,612,205,2129,53,120,0,23,40,703,84,38
01055035,5962,727,346,3671,977,28,0,18,50,21,122,62
01055036,2581,93,64,2326,66,2,0,0,6,0,25,-
01055037,4146,312,154,3439,191,4,0,2,0,16,29,11
01055038,3912,188,95,2752,794,14,0,0,9,9,51,2
01055039,1950,179,133,1386,207,19,0,0,0,18,8,1
01055040,5670,695,243,4524,117,10,0,25,6,5,44,40
01055041,7529,495,222,5715,677,19,0,3,49,13,337,17
01055042,2013,387,115,772,170,4,0,11,7,32,515,8
01055043,6712,282,165,4951,959,47,0,5,138,48,115,3
01055044,5254,668,295,3289,621,15,0,0,29,36,301,22
01055046,18550,1218,633,15067,103,15,18,6,111,331,1050,35
01056000,66425,11166,3680,40464,4647,1229,66,127,216,1030,3800,998
01056001,2030,412,108,1341,75,39,2,1,5,7,40,18
01056002,1717,321,99,916,343,12,0,0,2,0,24,27
01056003,804,52,34,692,6,11,0,0,0,2,6,4
01056004,620,50,26,513,25,0,3,0,0,0,2,5
01056005,1205,208,68,760,127,24,0,0,5,0,13,18
01056006,1602,59,45,1416,36,6,0,0,5,2,32,0
01056008,856,80,51,630,77,4,0,0,0,2,12,12
01056009,1488,153,64,1048,113,88,0,8,1,1,13,8
01056010,1314,97,55,1101,17,34,0,2,2,0,8,2
01056011,393,24,16,343,2,5,0,0,0,0,3,0
01056013,911,189,50,626,15,16,0,0,0,0,16,25
01056014,1079,102,49,843,62,14,0,0,2,2,7,3
01056015,2136,1233,293,430,112,15,0,0,14,0,39,128
01056016,564,43,13,474,8,6,0,0,0,2,17,3
01056017,1056,36,39,810,136,22,0,2,0,1,10,1
01056018,1258,439,124,600,33,43,0,0,0,0,19,25
01056019,1889,130,30,862,49,64,0,3,0,179,572,1
01056020,1808,99,45,1372,70,41,0,0,0,94,87,5
01056021,1107,137,66,721,56,116,2,0,1,1,6,4
01056022,1548,70,57,1020,370,5,6,0,3,1,15,8
01056023,538,120,39,327,29,9,0,0,0,4,10,4
01056024,996,143,134,494,195,16,0,1,0,1,11,2
01056025,421,48,23,3,0,6,0,0,0,94,247,7
01056026,1641,135,67,1270,139,4,3,10,2,6,6,7
01056027,2410,85,32,1128,50,13,0,0,0,287,816,1
01056028,1605,267,66,948,215,27,0,45,0,18,19,13
01056029,1079,161,55,726,78,36,0,0,2,4,17,2
01056030,1692,175,106,1313,27,36,0,0,0,4,31,9
01056031,677,125,44,443,41,13,0,0,0,0,11,4
01056032,650,105,44,363,111,17,0,1,0,0,8,14
01056033,1157,68,28,1004,8,5,0,0,3,0,41,5
01056034,1028,53,45,844,38,38,0,0,0,1,10,1
01056035,2172,148,78,1589,333,9,0,0,3,1,11,2
01056036,1076,221,50,689,53,14,0,0,3,13,33,19
01056037,854,47,26,745,2,0,0,0,0,0,33,2
01056038,638,33,31,558,3,3,0,2,2,0,7,3
01056039,2154,987,255,704,137,25,0,0,1,10,35,86
01056040,523,159,33,261,43,4,0,0,8,3,12,11
01056041,4316,1014,294,2130,595,190,50,1,0,3,38,79
01056042,1299,62,27,1171,1,3,0,0,1,3,32,3
01056043,1318,529,128,596,30,9,0,0,12,0,15,77
01056044,999,433,106,405,14,30,0,0,0,0,10,72
01056045,2336,70,34,1126,63,18,0,1,128,219,677,3
01056046,689,54,40,542,14,31,0,0,0,0,8,2
01056047,1252,122,46,1017,41,9,0,0,2,2,13,6
01056048,2061,502,184,1054,249,49,0,3,0,0,19,65
01056049,1143,509,97,469,36,9,0,0,2,2,19,74
01056050,3381,785,191,1306,341,39,0,6,0,55,658,118
01056051,937,74,41,724,32,2,0,43,6,2,12,11
01057000,108356,7504,3382,73265,11901,479,9,140,512,330,10832,229
