ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
14521240,2257,132,92,1474,514,1,0,0,0,29,15,15
14521250,2665,177,143,1674,586,5,0,0,1,61,19,27
14521260,2225,245,89,768,1096,2,0,0,0,16,9,38
14521270,2872,174,116,1029,1500,3,0,0,0,24,26,18
14521280,951,54,31,601,247,1,0,0,1,8,7,6
14521290,525,136,34,265,73,0,0,0,0,15,1,2
14521310,2623,306,155,1846,270,2,0,0,0,25,19,52
14521320,2959,300,130,279,2183,9,0,0,0,40,18,17
14521330,4969,138,154,1261,3315,7,0,0,0,78,16,14
14521340,1951,85,69,828,924,2,0,0,0,34,8,10
14521355,3028,295,132,788,1752,8,0,0,0,35,16,33
14521370,3049,261,143,1448,1144,10,0,0,0,36,7,27
14521380,2229,296,82,1616,166,2,0,0,0,53,14,27
14521390,13349,880,527,4807,6604,46,0,6,3,416,61,101
14521400,3167,159,120,2359,383,14,1,0,1,113,18,21
14521410,2014,331,97,1307,248,8,0,0,0,15,9,52
14521420,1306,142,77,605,448,6,0,0,0,10,19,42
14521430,604,129,40,351,51,3,0,0,0,14,16,9
14521440,4003,214,157,363,3085,24,0,0,0,152,8,11
14521450,2628,518,168,1124,740,15,0,0,1,34,27,62
14521460,12535,633,389,4182,7103,9,0,22,1,92,105,111
14521495,8343,482,286,3732,3484,5,0,0,0,67,286,67
14521500,3955,252,163,1376,2011,1,0,0,1,27,123,35
14521510,900,80,42,515,210,7,0,0,3,36,7,12
14521520,2122,142,72,1262,541,11,0,0,24,51,19,28
14521530,2335,457,147,1144,481,26,0,0,1,52,28,45
14521540,2815,185,113,640,1770,6,0,1,1,17,82,33
14521550,4631,632,240,1608,2037,9,0,0,0,73,32,76
14521560,4451,239,162,1636,2305,26,0,0,8,34,42,38
14521570,1243,154,40,688,344,1,0,0,0,14,3,9
14521590,3899,469,167,2278,915,11,0,0,0,25,34,74
14521600,2829,168,103,840,1512,11,0,1,0,17,177,25
14521610,797,49,33,428,272,0,0,0,0,9,6,4
14521620,1079,182,55,389,440,1,0,0,0,5,7,12
14521630,2421,206,126,1547,465,6,0,0,0,44,28,30
14521640,1890,189,75,1072,525,4,0,0,1,16,8,7
14521670,3051,209,141,2094,523,4,0,0,0,57,23,23
14521690,2279,287,149,1234,543,2,0,0,0,29,35,31
14521700,2193,221,87,756,1071,9,0,3,0,31,15,14
14521710,6424,504,237,3467,2136,11,0,0,0,35,34,50
14522000,211685,16692,8295,149322,33144,552,7,1,22,1226,2425,2258
14522010,1408,115,50,1192,41,0,0,0,0,6,4,7
14522020,2338,221,118,1006,936,4,0,0,0,15,38,16
14522035,5512,358,163,4519,371,7,0,0,0,59,35,38
14522050,4633,497,165,2872,1000,6,0,0,0,49,43,105
14522060,2588,411,136,1677,329,2,0,0,1,12,21,45
14522070,2138,256,66,1634,139,4,0,0,0,20,19,24
14522080,9175,986,473,7180,347,34,1,0,0,41,113,152
14522090,2958,91,80,2294,460,0,0,0,0,23,9,1
14522110,3387,252,78,2827,186,4,0,0,2,25,14,37
14522120,3783,218,133,3082,311,2,0,0,0,3,34,21
14522140,2776,375,213,823,1252,17,0,1,0,38,56,46
14522150,6562,620,291,4278,1207,78,0,0,0,30,59,96
14522170,5898,186,172,4138,1294,2,0,0,0,33,74,32
14522180,4831,1143,342,2081,1007,16,0,0,7,176,60,244
14522190,3006,194,102,2011,670,1,2,0,0,7,19,17
14522200,3220,158,74,2370,476,1,0,0,0,15,126,14
14522210,6163,489,271,3582,1681,30,0,0,0,63,47,60
14522220,4445,272,200,3688,239,3,0,0,0,10,33,79
14522230,5174,460,234,4104,313,21,0,0,0,13,29,53
14522240,4104,338,134,3192,313,8,0,0,0,79,41,49
14522250,5440,343,201,4354,478,19,0,0,0,7,37,56
14522260,1028,325,83,489,85,20,0,0,0,8,18,84
14522280,2842,117,75,2325,257,1,0,0,0,7,61,11
14522290,3103,149,84,2551,291,2,0,0,2,3,22,6
14522300,3108,169,98,2399,363,1,0,0,0,4,74,14
14522310,7809,576,320,6217,503,37,2,0,0,26,126,70
14522320,3447,206,105,2127,951,2,0,0,0,16,41,26
14522330,4914,537,244,3591,406,45,0,0,0,37,54,121
14522340,3339,185,79,2586,394,2,0,0,0,31,61,36
14522350,2833,283,139,1908,421,8,0,0,0,14,59,11
14522360,4126,538,193,2790,437,6,0,0,0,21,142,75
14522380,809,131,49,586,7,24,0,0,0,3,10,34
14522390,4314,169,112,2765,1159,1,0,0,0,40,68,20
14522400,4809,170,133,1806,2555,1,0,0,0,31,113,17
14522420,1639,259,115,904,316,3,0,0,0,6,37,11
14522430,4430,231,143,3525,479,3,0,0,0,26,23,4
14522440,7733,543,250,6036,841,8,0,0,1,18,36,61
14522450,5270,366,184,4524,124,4,1,0,0,42,26,35
14522460,6337,749,344,4552,579,33,0,0,0,14,65,104
14522470,5265,159,219,1491,3362,3,0,0,0,12,20,18
14522480,4971,251,123,4009,535,3,0,0,0,18,31,40
14522490,2376,293,137,1382,489,3,0,0,0,24,48,17
14522500,5359,316,172,3246,1556,5,0,0,1,7,55,67
14522510,4410,363,216,3434,338,3,0,0,0,11,45,41
14522520,3530,114,95,2002,1286,0,0,0,4,15,13,13
14522530,3122,123,114,2631,208,4,0,0,0,4,39,8
14522540,7723,433,277,5906,996,22,0,0,0,25,63,26
14522550,1111,125,57,868,48,1,0,0,0,1,11,11
14522570,4171,347,177,3198,364,28,0,0,0,7,51,31
14522580,2565,143,102,1921,340,15,0,0,2,6,38,12
14522590,2257,149,68,1740,250,1,0,0,0,14,35,37
14522600,1568,66,37,1346,109,1,0,0,0,2,6,2
14522620,1826,123,58,1566,50,1,0,0,0,5,23,1
14523000,141241,10579,6005,65412,55023,233,228,8,19,2011,1722,1506
14523010,4297,257,195,1738,1999,3,1,1,0,84,19,29
14523020,5552,702,294,1500,2938,12,0,4,0,79,23,47
14523030,4392,168,187,1452,2431,4,0,0,2,128,19,13
14523040,1977,189,92,515,1147,4,0,0,0,19,10,3
14523050,834,58,28,287,442,0,0,0,0,14,4,1
14523060,3421,138,94,2015,1021,4,0,0,4,59,86,7
14523080,3273,97,96,1651,1364,17,0,0,0,39,8,9
14523090,455,108,39,250,48,1,0,0,0,7,2,22
14523100,2510,169,97,1500,687,1,0,0,0,18,38,36
14523120,3106,323,154,1290,1266,1,0,0,1,32,39,49
14523130,2754,89,104,186,2253,0,0,0,0,27,95,7
14523150,2186,186,99,1393,485,3,0,0,0,11,8,62
14523160,5044,335,219,770,3662,2,0,0,0,44,12,26
14523170,4698,404,258,2843,1045,1,0,0,3,108,36,77
14523190,1421,133,59,973,241,0,0,0,0,9,6,5
14523200,6906,335,198,2347,3935,2,1,2,2,65,18,41
14523230,3959,107,77,2162,1578,1,0,0,0,23,10,11
14523245,5608,214,155,469,4635,1,0,0,0,102,31,26
14523260,1251,152,78,726,271,0,0,0,0,13,10,30
