ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
01054124,94,76,14,4,0,14.6
01054125,384,338,34,12,0,51.7
01054126,322,265,38,19,0,48.6
01054128,415,379,29,7,0,55.1
01054129,103,89,6,8,0,13.5
01054130,6,4,2,0,0,0.9
01054131,1016,896,87,33,0,130.1
01054132,58,47,7,4,0,8.7
01054134,548,456,68,24,0,67.7
01054135,332,299,17,16,0,45.8
01054136,79,62,12,5,0,12.2
01054138,1948,1671,146,131,0,242.3
01054140,45,32,5,8,0,7
01054141,139,123,11,5,0,19.9
01054142,157,139,15,3,0,20.8
01054143,214,152,53,9,0,32.8
01054144,751,618,94,38,1,110.4
01054145,120,103,15,2,0,15.9
01054146,70,55,10,5,0,10.2
01054148,109,91,13,5,0,14.9
01054149,1335,953,220,161,1,178.4
01054150,88,81,7,0,0,10.7
01054152,391,322,47,22,0,54.9
01054154,144,129,14,1,0,20.4
01054156,282,236,36,10,0,39.8
01054157,41,36,4,1,0,5.8
01054158,33,29,2,2,0,4.6
01054159,310,260,41,9,0,42.4
01054160,251,147,35,69,0,43.4
01054161,451,403,42,6,0,57.7
01054162,190,156,28,6,0,27.7
01054163,272,198,49,25,0,36.1
01054164,1860,1284,336,238,2,275.2
01054165,219,180,27,12,0,35.6
01054166,427,360,47,20,0,62.5
01054167,440,385,44,11,0,60
01054168,5394,3815,713,861,5,842.2
01055000,66384,51637,7445,7239,63,10623.8
01055001,2637,2132,325,180,0,387.1
01055002,378,295,67,16,0,54
01055004,5020,3626,587,803,4,936.5
01055006,194,165,19,10,0,26.7
01055007,1336,1124,162,50,0,190
01055010,767,595,84,87,1,104.7
01055011,246,210,31,5,0,31.9
01055012,4592,3285,464,825,18,836.5
01055014,442,387,41,14,0,55.7
01055015,589,491,74,24,0,88
01055016,2896,2141,363,392,0,472.5
01055017,1209,1039,102,68,0,176.4
01055018,411,350,43,18,0,56.2
01055020,250,213,26,11,0,33.2
01055021,2838,2160,236,438,4,489.2
01055022,545,487,40,17,1,66.2
01055023,161,125,26,10,0,21.9
01055024,510,414,64,32,0,74.2
01055025,562,391,82,89,0,92.3
01055027,1593,1287,175,130,1,237.7
01055028,3020,2242,412,363,3,509.9
01055029,150,124,16,10,0,20.6
01055031,559,477,53,29,0,70.8
01055032,4141,3086,354,693,8,698.4
01055033,2990,2390,272,322,6,455.6
01055035,4831,3909,595,326,1,706.5
01055036,386,326,50,10,0,51.5
01055037,880,749,93,37,1,113.3
01055038,799,608,134,55,2,119
01055039,621,476,65,80,0,131.2
01055040,5248,4286,547,412,3,794.7
01055041,1836,1513,234,89,0,259.2
01055042,3193,2228,389,574,2,629.4
01055043,882,737,97,48,0,123.2
01055044,4333,3305,548,478,2,718.7
01055046,5339,4264,575,494,6,790.8
01056000,84395,67231,7665,9456,43,14463.7
01056001,1485,1221,140,123,1,232.9
01056002,2949,2270,353,326,0,477.6
01056003,180,129,36,15,0,30.9
01056004,265,215,37,13,0,40.2
01056005,1366,1132,140,93,1,223.3
01056006,192,152,28,12,0,30
01056008,465,414,40,11,0,65.9
01056009,787,642,95,50,0,122.1
01056010,565,459,75,31,0,84.3
01056011,114,89,19,6,0,18.1
01056013,1554,1310,178,66,0,227.3
01056014,498,412,69,17,0,73.7
01056015,11171,8118,1157,1886,10,2087.4
01056016,249,195,30,24,0,40.2
01056017,106,87,10,9,0,17.5
01056018,5025,4239,336,449,1,838
01056019,385,313,54,18,0,59.2
01056020,644,538,73,33,0,95.6
01056021,1154,957,96,101,0,181.1
01056022,247,195,38,14,0,37.4
01056023,953,814,107,32,0,135
01056024,1024,873,108,43,0,138.9
01056025,601,384,105,107,5,80.2
01056026,536,416,83,37,0,82.7
01056027,518,434,61,23,0,77.5
01056028,1061,905,94,62,0,160.7
01056029,1206,1018,137,51,0,173.7
01056030,1027,888,88,51,0,148.6
01056031,1138,1004,83,51,0,157.9
01056032,797,718,58,21,0,107.5
01056033,376,333,35,8,0,53.5
01056034,201,166,27,8,0,31.4
01056035,234,177,41,16,0,36.3
01056036,1614,1394,139,81,0,233.3
01056037,177,150,22,5,0,26.1
01056038,125,94,22,9,0,20.1
01056039,9503,7508,580,1414,1,1829.3
01056040,800,678,95,26,1,117.7
01056041,6241,5165,499,574,3,1079
01056042,200,166,31,3,0,29.6
01056043,4460,3658,384,416,2,715.5
01056044,4645,3567,390,682,6,855.9
01056045,368,316,41,11,0,50.7
01056046,292,243,36,13,0,45.2
01056047,715,592,75,48,0,110.2
01056048,4077,3408,361,305,3,633.2
01056049,4598,3559,349,687,3,797.4
01056050,7055,5145,558,1347,5,1485.5
01056051,452,371,52,28,1,68.6
01057000,42268,34209,4542,3490,27,6448.1
01057001,1014,867,91,56,0,137.8
01057002,56,46,6,4,0,8.2
01057003,197,155,30,12,0,29.3
01057004,335,281,36,18,0,45.7
01057005,161,147,11,3,0,24.1
01057006,91,74,13,4,0,13.6
01057007,719,610,77,32,0,93.9
01057008,743,639,85,18,1,106.2
01057009,493,417,55,21,0,69.6
01057010,150,106,30,14,0,25
01057011,90,63,24,3,0,14.2
01057012,135,107,22,6,0,20.8
