ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
07336074,349,294,40,15,0,51.5
07336075,433,323,80,29,1,67.7
07336076,299,227,69,3,0,46
07336077,354,273,70,11,0,56.3
07336079,636,504,112,20,0,89.9
07336081,54,36,15,3,0,8.9
07336082,214,181,27,6,0,33.3
07336084,216,184,29,3,0,34.2
07336085,131,114,12,5,0,18.2
07336086,78,68,9,1,0,12.7
07336087,294,237,53,4,0,45.4
07336088,192,145,42,5,0,29.8
07336089,134,94,37,3,0,21
07336090,134,102,25,7,0,21.8
07336091,178,125,46,7,0,29.9
07336092,1972,1488,368,116,0,330.8
07336094,138,116,20,2,0,20.7
07336095,438,360,64,14,0,66.8
07336096,411,313,86,11,1,70.1
07336097,230,172,49,9,0,35
07336098,275,215,53,7,0,44.5
07336099,266,201,51,14,0,43.7
07336100,32,29,3,0,0,4.8
07336101,265,205,56,4,0,41.1
07336102,1699,1291,275,132,1,311.6
07336103,87,72,11,4,0,12.7
07336104,160,129,28,3,0,23.6
07336105,657,484,124,49,0,105.7
07336106,305,222,67,16,0,50.9
07336107,259,190,54,15,0,46.1
07336501,213,167,40,6,0,34.2
07337000,37499,29379,5384,2711,25,6217.3
07337001,795,681,90,24,0,109.5
07337002,317,263,44,10,0,49.2
07337005,1642,960,235,445,2,420.2
07337006,251,214,30,7,0,38.2
07337007,1380,1114,185,81,0,212.7
07337008,263,228,30,5,0,39
07337009,280,223,47,10,0,42.6
07337011,268,231,27,10,0,43.4
07337012,285,241,37,7,0,41.6
07337013,105,96,7,2,0,14.5
07337014,579,470,78,31,0,92.2
07337015,350,285,49,16,0,51.8
07337017,188,164,21,3,0,25.7
07337018,213,174,37,2,0,33.2
07337019,369,294,55,20,0,54.5
07337020,1864,1271,299,291,3,339.4
07337021,883,731,112,39,1,138.9
07337022,219,173,34,12,0,35.1
07337023,791,658,99,34,0,123.6
07337024,367,303,49,15,0,52.8
07337025,145,112,24,9,0,23.3
07337026,367,297,53,17,0,56.7
07337027,339,281,47,11,0,52.6
07337028,234,187,26,20,1,37
07337029,349,294,44,11,0,53.8
07337031,337,277,52,8,0,49.6
07337032,558,455,80,23,0,86.9
07337033,591,505,67,19,0,83.4
07337035,233,196,31,6,0,35.3
07337036,322,268,40,14,0,52.8
07337037,85,70,14,1,0,13.2
07337038,3229,2558,380,290,1,571.3
07337039,199,163,25,11,0,31.7
07337040,329,269,41,18,1,51.3
07337041,833,679,108,45,1,137.9
07337042,410,324,65,21,0,65.1
07337043,323,271,39,13,0,48.9
07337044,800,665,103,31,1,118.3
07337045,322,237,59,26,0,56.7
07337046,375,320,48,7,0,54.5
07337047,647,480,110,57,0,117.4
07337048,139,117,21,1,0,22.2
07337049,786,630,116,39,1,121.3
07337050,191,163,25,3,0,27.4
07337051,240,200,32,8,0,33.5
07337052,1226,875,217,133,1,228.5
07337054,97,81,14,2,0,13.1
07337055,170,134,29,7,0,26.9
07337056,128,108,19,1,0,18.8
07337058,168,132,33,3,0,25.7
07337059,463,386,54,22,1,72.2
07337060,68,60,7,1,0,9.5
07337061,1815,1379,254,181,1,337.8
07337062,333,270,49,14,0,51.3
07337064,388,308,61,18,1,58.8
07337065,230,176,42,12,0,36.1
07337066,468,355,88,25,0,74.5
07337067,257,198,48,11,0,41.5
07337068,610,483,82,45,0,98.4
07337069,305,239,56,9,1,50.8
07337070,656,481,126,49,0,103.5
07337071,547,456,64,26,1,82.9
07337072,242,205,27,10,0,35.8
07337073,393,329,48,16,0,56.7
07337074,270,220,41,9,0,40.5
07337076,656,514,103,38,1,104
07337077,349,293,49,6,1,51.2
07337078,209,171,29,9,0,31
07337079,264,226,29,8,1,39.1
07337080,161,129,24,8,0,24.4
07337081,161,126,25,10,0,24.5
07337082,216,175,35,6,0,34.3
07337083,432,367,54,11,0,63.6
07337084,233,180,46,7,0,39
07337501,2192,1531,416,241,4,382.3
07338000,47763,37080,6593,4056,34,8154
07338001,2452,1817,409,224,2,401.6
07338002,1027,782,160,84,1,170.2
07338003,1013,821,109,82,1,169.7
07338004,2913,2196,450,267,0,521.5
07338005,3594,2798,558,235,3,568.1
07338006,2436,1932,331,172,1,397.4
07338007,1930,1484,264,179,3,328.4
07338008,825,600,142,83,0,136.6
07338009,481,404,63,13,1,71.4
07338010,757,587,125,45,0,125.6
07338011,1044,839,133,72,0,167.7
07338012,1112,904,145,63,0,168.2
07338013,464,381,66,17,0,71.9
07338014,1019,821,123,74,1,166.9
07338015,312,259,38,15,0,47.7
07338016,2204,1775,255,170,4,362.1
07338017,3257,2704,281,269,3,630.9
07338018,2300,1839,293,164,4,378.2
07338019,3693,2856,462,374,1,664.4
07338020,2129,1713,244,171,1,389.5
07338021,1121,869,191,61,0,184.2
07338022,1000,813,124,63,0,158.4
07338023,3145,2437,470,235,3,528.2
07338025,5727,4155,866,701,5,1033.3
07338026,1808,1294,291,223,0,312
07339000,62424,45247,10097,7038,42,11186.1
07339001,513,379,92,41,1,86.8
07339002,332,251,59,22,0,53.3
07339003,721,516,126,79,0,113.7
07339004,220,187,25,8,0,36.9
07339005,6259,3921,1063,1262,13,1293.1
07339006,2305,1676,346,283,0,410
07339007,65,56,9,0,0,8.6
07339008,302,237,46,19,0,48.6
07339009,1958,1122,379,455,2,409.6
07339010,397,333,50,14,0,60.2
07339011,471,361,72,38,0,81.2
07339012,751,591,109,51,0,118.4
07339013,358,293,57,8,0,53.9
07339015,214,190,22,2,0,30.9
07339016,264,212,28,24,0,43.6
07339017,1080,781,198,100,1,192
07339018,254,214,34,6,0,36.8
07339019,2033,1506,308,218,1,353.9
07339020,693,491,155,47,0,121.7
07339021,1130,811,216,102,1,197.1
07339022,416,308,77,31,0,68.9
07339024,1290,1044,168,77,1,202.8
07339025,539,408,85,46,0,92.8
07339026,741,571,109,61,0,127.9
07339028,241,207,25,9,0,34.8
07339029,272,215,42,15,0,44.3
07339030,9490,6481,1578,1427,4,1850.8
07339031,554,452,72,29,1,87.6
07339032,1083,775,199,108,1,197.3
07339033,487,417,53,17,0,71.4
07339034,769,583,144,42,0,123.2
07339035,199,165,20,14,0,31.2
07339036,156,138,16,2,0,21.2
07339037,917,688,133,96,0,166.6
07339038,997,743,166,87,1,159.2
07339039,1570,1077,290,202,1,281.6
07339040,319,259,39,20,1,46.9
07339041,237,195,33,9,0,38.2
07339042,2642,1828,516,295,3,542
07339043,2561,1986,329,246,0,425.3
07339044,333,265,52,15,1,49.5
07339045,222,170,40,12,0,32.3
07339046,373,299,59,15,0,61.8
07339047,1282,873,245,162,2,234.6
07339048,851,604,176,71,0,151.2
07339049,1872,1305,280,285,2,364.8
07339050,273,213,39,21,0,45.3
07339051,826,615,137,74,0,138.2
07339053,543,422,84,37,0,89.8
07339054,415,334,59,22,0,68.3
07339056,1310,1013,178,119,0,213.6
07339057,1566,1174,275,117,0,264.5
07339058,372,261,86,25,0,56.2
07339059,400,340,44,16,0,60.5
07339060,937,754,108,72,3,160.8
07339062,1493,1220,169,103,1,228.2
07339063,965,746,152,67,0,157
07339064,253,216,28,9,0,39.9
07339065,195,157,29,9,0,32
07339066,114,98,12,4,0,17.4
07339067,1132,756,244,132,0,216.3
07339068,240,204,28,8,0,35.5
07339201,353,294,45,14,0,53.7
07339202,304,246,40,17,1,50
07340000,35923,26619,7358,1927,19,5750
07340001,146,122,19,5,0,22.3
07340002,468,349,100,19,0,70.9
07340003,590,470,101,19,0,93.8
07340004,1386,923,306,156,1,240.4
07340005,76,59,15,2,0,11
07340006,83,74,7,2,0,11.4
07340007,355,254,85,16,0,56.1
07340008,499,319,155,25,0,77.7
07340009,463,363,86,14,0,68.7
07340010,149,119,25,4,1,21.4
07340011,601,443,125,33,0,93.4
07340012,318,245,62,11,0,52.4
07340014,1462,1153,220,89,0,227
07340015,809,612,169,28,0,133.2
07340016,696,557,121,17,1,113.4
07340017,350,282,58,10,0,55.4
07340018,112,91,17,4,0,18.4
07340019,138,107,26,5,0,21.7
07340020,572,431,109,32,0,88.4
07340021,57,47,8,2,0,8.3
07340022,492,385,94,13,0,77.4
07340023,299,180,100,19,0,47.7
07340024,343,260,64,19,0,55.1
07340025,221,164,55,2,0,37
07340026,267,187,68,12,0,42.4
07340027,389,307,72,10,0,59
07340028,1282,841,317,123,1,219.6
07340029,375,311,48,16,0,57.4
07340030,249,216,25,8,0,36.5
07340031,502,387,103,12,0,75.7
07340032,1064,782,210,72,0,175.6
07340033,122,102,17,3,0,17.3
07340034,76,65,7,4,0,11.4
07340035,301,223,68,10,0,47.2
07340036,257,205,49,3,0,40
07340037,333,249,76,8,0,50.8
07340038,2226,1454,514,257,1,376.9
07340039,200,163,36,1,0,27.8
07340040,568,466,75,27,0,89.3
07340041,140,104,33,3,0,24.5
07340042,74,62,10,2,0,12.8
07340043,219,182,32,5,0,32.9
07340044,327,267,54,6,0,51.8
07340045,209,156,42,9,2,30.2
07340047,247,221,17,8,1,36.4
07340048,128,92,34,2,0,19.1
07340049,273,230,33,10,0,42.7
07340050,166,137,18,11,0,28.7
07340051,1199,830,299,66,4,187.6
07340052,463,324,128,11,0,72.9
07340053,610,437,142,31,0,99.8
07340054,1726,1155,435,135,1,281.4
07340055,543,404,121,18,0,94.5
07340057,425,350,65,10,0,57.9
07340201,242,177,48,17,0,39.1
07340202,270,213,52,5,0,41.2
07340203,791,554,187,49,1,131.9
07340204,74,58,14,2,0,12.1
07340205,289,227,55,7,0,45.2
07340206,1683,1137,412,133,1,279.7
07340207,499,364,115,19,1,75.2
07340208,130,93,30,6,1,22.5
07340209,139,112,25,2,0,21.9
07340210,230,179,43,8,0,36.4
07340211,490,334,111,45,0,81.7
07340212,233,182,42,9,0,38.9
07340213,156,117,34,5,0,24.9
07340214,256,176,63,17,0,41.2
07340215,210,181,28,1,0,33.2
07340216,71,55,16,0,0,11.9
07340217,362,284,63,15,0,57.4
07340218,95,78,13,4,0,14.9
07340219,599,462,104,32,1,96.9
07340220,300,240,49,11,0,48.6
07340221,169,133,28,8,0,28.1
07340222,804,615,160,28,1,123.4
07340223,140,106,31,3,0,23
07340224,162,131,28,3,0,26.1
07340225,341,270,61,10,0,54.7
07340226,132,110,16,6,0,20.6
07340227,190,142,35,13,0,30.2
07340228,200,156,37,7,0,32
07340501,600,475,107,18,0,93.4
07340502,421,340,76,5,0,61.2
08000000,2469621,1512248,514494,439285,3594,503232.9
08111000,75516,26745,10996,37405,370,23817.8
08115000,83073,52254,16064,14669,86,17454.4
08115001,2516,1608,618,289,1,461.1
08115002,1223,887,196,140,0,217.9
08115003,7809,4354,1250,2194,11,2151.5
08115004,1556,1074,311,169,2,275.4
08115010,828,574,170,82,2,146
08115013,2115,1334,401,379,1,400.6
08115015,2907,1969,505,432,1,566.2
08115016,2436,1666,505,262,3,426.2
08115021,7963,5298,1589,1071,5,1517.4
08115022,922,606,192,122,2,166.7
08115024,3026,2059,510,456,1,617.8
08115028,9162,5325,1644,2172,21,2122
08115029,1915,1092,390,429,4,396.4
08115034,1056,763,206,87,0,171.7
08115037,1576,1091,296,188,1,277.9
08115041,4089,2682,690,714,3,805.4
08115042,2687,1732,531,423,1,490.7
08115044,2462,1511,581,367,3,497.9
08115045,9342,5130,1762,2436,14,2592.5
08115046,1447,876,307,264,0,277.5
08115048,2153,1328,467,356,2,431.9
08115050,5000,3350,999,649,2,893.9
08115051,2759,1861,589,308,1,478.7
08115052,2210,1453,519,236,2,374.7
08115053,2090,1549,362,176,3,347.6
08115054,1824,1082,474,268,0,348.7
08116000,114218,68042,22473,23561,142,23216.8
08116004,1170,600,257,313,0,259.7
08116005,443,319,79,45,0,74.8
08116006,601,415,138,48,0,100.8
08116007,1514,1015,313,185,1,268.7
08116008,997,696,207,94,0,162.8
08116011,1074,724,238,112,0,174.7
08116012,1059,732,219,106,2,171.5
08116014,1569,915,369,285,0,290.3
08116015,2288,1281,507,499,1,456.3
08116016,1591,1080,294,215,2,276.1
08116018,663,486,132,45,0,103.7
08116019,15223,7032,2953,5192,46,3793.3
08116020,2562,1776,512,273,1,410
08116022,1203,838,241,123,1,195.9
08116027,1306,839,314,152,1,234.9
08116029,664,469,131,63,1,104.6
08116033,8541,5369,1482,1683,7,1769.1
08116035,2394,1541,466,386,1,436.3
08116036,752,541,176,35,0,109.7
08116037,881,612,214,55,0,141.1
08116041,1073,740,214,119,0,179.8
08116042,1477,936,307,234,0,276.6
08116043,543,329,154,60,0,88.6
08116046,1755,1173,369,213,0,295.6
08116047,2843,1821,467,553,2,553.9
08116048,1107,774,261,72,0,176.5
08116049,9222,5940,1799,1462,21,1734.9
08116050,1512,977,356,176,3,257.6
08116053,574,428,113,32,1,86.1
08116054,987,671,217,99,0,160.6
08116056,2496,1272,543,674,7,588.4
08116058,1591,783,434,374,0,351.4
08116063,629,457,117,55,0,103.6
08116068,1294,883,220,188,3,223.6
08116070,2666,1790,559,315,2,462
08116071,3441,1943,690,808,0,684.1
08116072,2467,1292,578,596,1,525.3
08116073,1628,1020,354,253,1,297.7
08116076,2132,1459,434,238,1,389.4
08116077,8693,4571,1513,2594,15,1970.4
08116078,7334,3870,1266,2193,5,1746.5
08116079,2525,1776,580,166,3,389.2
08116080,6936,3917,1151,1855,13,1660
08116081,2798,1940,535,323,0,480.6
08117000,61623,36946,15298,9326,53,11482.6
08117001,644,457,146,41,0,99.6
08117002,394,265,96,32,1,64.5
08117003,1211,759,328,124,0,214.7
08117006,1021,605,295,121,0,184.5
08117007,1149,713,328,106,2,203.4
08117009,590,355,177,58,0,96.6
08117010,1612,1029,468,114,1,274.8
08117011,557,341,186,30,0,89.8
08117012,1309,782,300,225,2,248.7
08117014,1551,878,530,142,1,260.7
08117015,3028,1860,863,304,1,532
08117016,148,105,38,5,0,22.4
08117017,622,422,138,61,1,100.5
08117018,3930,2430,980,518,2,702.3
08117019,4218,2256,1028,930,4,886.7
08117020,548,318,130,100,0,108.2
08117023,401,232,116,53,0,70.9
08117024,5465,3073,1242,1144,6,1103.9
08117025,1257,799,307,150,1,214.2
08117026,11087,6119,2252,2699,17,2391.2
08117028,651,431,160,60,0,106.9
08117029,880,593,216,71,0,146.7
08117030,1343,844,320,179,0,240.1
08117031,274,222,47,5,0,36.6
08117033,1487,929,363,195,0,257.8
08117035,306,204,86,16,0,48.2
08117037,736,451,225,59,1,127.3
08117038,1436,880,373,183,0,261.3
08117042,1804,1038,433,329,4,351.2
08117043,529,334,154,41,0,85.4
08117044,1156,847,220,88,1,182.7
08117049,2354,1476,558,315,5,427.6
08117051,3544,2216,933,393,2,613.7
08117053,1180,741,334,104,1,193.7
08117055,934,558,269,107,0,162.9
08117058,587,352,172,63,0,94
08117060,871,569,201,101,0,148.4
08117061,809,463,286,60,0,128.6
08118000,113249,68875,20989,23209,176,23544.8
08118001,1384,1052,223,108,1,213.4
08118003,2879,1745,514,618,2,578.7
08118006,1591,1063,283,241,4,291.7
08118007,3000,1961,626,410,3,572.7
08118010,2015,1366,367,281,1,367.7
08118011,5052,3019,883,1143,7,1062.8
08118012,1919,1388,378,152,1,326.8
08118014,1452,965,314,173,0,245.8
08118015,822,583,162,75,2,131.6
08118016,730,505,154,71,0,118.7
08118018,1160,750,252,158,0,201.1
08118019,3877,1979,767,1127,4,925.2
08118021,2305,1510,525,267,3,385.1
08118027,1316,858,198,258,2,351.2
08118028,716,477,159,79,1,114.9
08118040,1383,928,257,197,1,246.6
08118046,4609,2040,746,1812,11,1293.8
08118047,1606,1148,285,172,1,264.8
08118048,14562,6940,2248,5317,57,3698.9
08118049,3469,2153,665,646,5,693.3
08118050,3075,1737,625,703,10,639.6
08118051,1764,891,289,584,0,455.2
08118053,1032,712,249,69,2,163.9
08118054,1517,1058,213,243,3,291.1
08118059,953,657,225,71,0,160.3
08118060,2380,1602,566,211,1,398.9
08118063,1481,957,271,251,2,279.3
08118067,2224,1305,436,480,3,502.5
08118068,1449,972,290,185,2,255.1
08118070,3359,2407,623,327,2,565.5
08118071,2750,1885,376,488,1,571.6
08118073,7825,5361,1651,810,3,1359.3
08118074,858,586,188,82,2,146.8
08118076,4655,3226,849,571,9,841.6
08118077,1542,996,298,246,2,292.4
08118078,3659,2214,738,702,5,719.3
08118079,8397,5113,1555,1721,8,1866.8
08118080,3281,1608,644,1016,13,813.1
08118081,5201,3158,897,1144,2,1137.9
08119000,93474,53068,21027,19281,98,18747.3
08119001,2092,1312,634,143,3,340.2
08119003,1370,890,340,138,2,242.9
08119004,1321,975,242,103,1,219.5
08119006,1984,1243,533,207,1,343.4
08119008,7449,4127,1589,1727,6,1581.5
08119018,988,632,228,128,0,171.6
08119020,6604,2141,1252,3205,6,1777.6
08119024,821,616,169,33,3,122.5
08119037,760,504,204,51,1,120.6
08119038,1058,639,298,120,1,175.4
08119041,2428,1287,545,595,1,493.9
08119042,2596,1369,649,576,2,516.8
08119044,3329,1974,798,552,5,597.2
08119053,1239,763,349,127,0,206.8
08119055,2245,1324,552,368,1,430.2
08119061,3230,2066,837,326,1,532.2
08119067,8570,5095,1653,1812,10,1745.2
08119068,1968,1034,430,502,2,405.6
08119069,723,521,157,45,0,111.7
08119075,1362,820,361,178,3,232.5
08119076,2356,1551,523,277,5,408.4
08119079,9835,5079,1993,2755,8,2277.1
08119083,2026,1270,526,227,3,358.1
08119084,2637,1577,596,459,5,492.9
08119085,5719,3206,1222,1283,8,1238.1
08119086,1925,1241,352,331,1,357.4
08119087,2229,1351,631,246,1,376.1
08119089,1976,1296,502,177,1,326.2
08119090,3549,1979,966,603,1,654.7
08119091,5956,3431,1328,1188,9,1231.2
08119093,3129,1755,568,799,7,659.8
08121000,21773,11600,3764,6346,63,5085
08125000,91660,63002,18367,10247,44,16270.6
08125001,1389,989,259,140,1,236.4
08125005,4302,2823,766,709,4,831.4
08125006,5379,3527,1055,795,2,1039.6
08125007,1875,1253,342,280,0,358.1
08125008,1774,1237,362,175,0,310.9
08125013,4483,3278,761,444,0,763.5
08125017,880,678,145,56,1,139.2
08125021,927,638,210,79,0,151
08125024,1044,749,186,108,1,177.8
08125026,5834,3971,1288,571,4,1053.4
08125027,1379,807,371,199,2,251.5
08125030,1919,1344,336,239,0,370.4
08125034,1415,934,334,147,0,253.5
08125038,1555,1059,325,169,2,273.4
08125039,2215,1576,472,167,0,367.8
08125046,2622,1748,583,291,0,464.7
08125047,698,495,153,50,0,122.9
08125048,553,414,113,25,1,86.3
08125049,1528,1003,370,154,1,266.6
08125056,2734,1754,504,475,1,529.7
08125057,793,604,150,38,1,130.5
08125058,3005,2089,526,388,2,547.4
08125059,943,645,214,84,0,154.5
08125061,1085,778,214,91,2,177.4
08125063,1964,1306,393,264,1,367
08125065,5816,3575,1154,1082,5,1146.9
08125066,1109,791,215,103,0,187.2
08125068,1673,1165,423,85,0,262.9
08125069,2674,1817,600,255,2,472.1
08125074,2240,1475,497,267,1,388.3
08125078,1807,1279,375,153,0,305.3
08125079,747,503,153,91,0,128.7
08125081,769,584,147,38,0,114.3
08125084,450,308,110,32,0,69.1
08125086,3182,2150,731,301,0,541.7
08125087,463,323,98,42,0,76.1
08125094,1519,1083,305,131,0,266.9
08125096,1086,798,183,104,1,194.7
08125098,2451,1751,434,266,0,423.6
08125102,2936,1923,553,455,5,589.4
08125103,593,460,109,24,0,89.8
08125107,2131,1625,377,127,2,328.1
08125108,1417,1146,218,53,0,203.7
08125110,3954,2842,776,334,2,659.4
08125111,1219,878,255,86,0,207.5
08125113,1129,827,222,80,0,190
08126000,29990,20312,6422,3205,51,5440.8
08126011,3619,2575,722,320,2,618.3
08126020,751,512,174,63,2,124
08126028,1500,1034,351,114,1,251.9
08126039,1573,1010,428,134,1,275.6
08126045,1385,950,336,99,0,219.2
08126046,3551,2155,828,552,16,736.5
08126047,1667,1120,345,197,5,300.7
08126056,1191,877,240,73,1,200.1
08126058,1957,1398,403,147,9,326.4
08126060,1041,687,215,138,1,200
08126066,5277,3470,888,911,8,1114.6
08126069,2571,1818,542,208,3,432.4
08126072,1955,1374,501,79,1,305.3
08126085,852,584,179,89,0,152.1
08126086,567,354,150,63,0,97
08126094,533,394,120,18,1,86.7
08127000,52266,34612,11859,5719,76,9363.4
08127008,1601,1219,302,80,0,269.1
08127009,824,599,183,42,0,122.8
08127012,886,568,240,78,0,146.9
08127013,713,534,145,32,2,107
08127014,7710,4529,1938,1232,11,1498.1
08127023,867,571,216,79,1,145
08127025,2899,1724,711,455,9,544.9
08127032,1287,997,195,95,0,201.4
08127043,1796,1198,424,169,5,323.3
08127046,1270,924,268,76,2,198.7
08127047,636,464,127,45,0,105.8
08127052,1782,1273,381,125,3,297.9
08127056,990,615,270,104,1,181.4
08127059,1048,664,258,125,1,189.8
08127062,1068,705,268,93,2,174.7
08127063,1527,1064,350,111,2,257.1
08127071,1629,1162,355,110,2,273.3
08127073,1669,1198,363,108,0,273.5
08127075,1709,1304,287,118,0,283.8
08127076,9074,5665,1818,1567,24,1883.5
08127079,769,501,205,60,3,129.8
08127086,885,540,252,93,0,155.3
08127089,1340,980,253,104,3,224
08127091,1065,739,237,89,0,177.7
08127099,609,416,140,53,0,109.4
08127100,1529,995,368,165,1,260.6
08127101,1245,891,285,68,1,199.6
08127102,1447,1014,354,78,1,224
08127103,1499,1025,394,79,1,252.4
08127104,893,534,272,86,1,152.8
08128000,38027,24728,9273,3991,35,6830.5
08128006,639,394,197,47,1,113.9
08128007,5549,3362,1184,990,13,1149.2
08128014,2176,1495,521,160,0,356.5
08128020,1576,1166,347,61,2,255.5
08128039,1202,769,347,86,0,194.3
08128045,1274,798,382,94,0,221.8
08128047,1185,791,332,62,0,198.3
08128058,1465,900,351,214,0,277.2
08128061,1019,689,296,34,0,167.8
08128064,1681,1134,424,121,2,282.7
08128082,1538,1094,317,125,2,258.7
08128115,3623,2277,869,469,8,680.3
08128126,2441,1683,554,204,0,403.4
08128128,1180,814,292,74,0,191.4
08128131,5866,3589,1498,775,4,1132.9
08128137,555,378,146,30,1,93.7
08128138,824,646,152,26,0,125
08128139,4234,2749,1064,419,2,727.9
08135000,35524,24596,7063,3838,27,6095.6
08135010,1507,1166,306,34,1,225.3
08135015,3733,2837,721,175,0,568.4
08135016,4867,3330,882,654,1,848.2
08135019,11159,7071,2203,1862,23,2121.4
08135020,3694,2575,751,368,0,609.3
08135021,764,598,130,35,1,112.2
08135025,2121,1520,435,166,0,354.3
08135026,1822,1254,392,176,0,315.5
08135027,1499,1131,278,90,0,237
08135031,1793,1312,392,89,0,278.8
08135032,2565,1802,573,189,1,425.1
08136000,82244,51482,21373,9290,99,14764.2
08136002,2295,1535,594,165,1,374
08136003,572,415,136,21,0,91.2
08136007,794,608,151,35,0,113.9
08136009,1331,806,435,90,0,220.3
08136010,3479,2492,700,282,5,565.8
08136015,823,517,254,51,1,138
08136018,545,371,159,15,0,86.5
08136019,6116,3918,1462,730,6,1155.7
08136020,583,387,168,28,0,94.3
08136021,1765,1142,429,193,1,327.7
08136024,749,506,198,45,0,119.3
08136027,1645,1152,402,88,3,255.9
08136028,2281,1402,540,335,4,446.3
08136029,581,375,175,31,0,94.5
08136033,1709,990,570,147,2,296.2
08136034,789,509,234,46,0,130.2
08136035,720,477,196,47,0,117.2
08136037,626,465,144,17,0,93.9
08136038,1389,925,362,102,0,235
08136040,592,348,187,57,0,102.8
08136042,2993,1775,875,342,1,524.4
08136043,1204,754,352,98,0,202.8
08136044,1841,1179,473,185,4,335.5
08136045,2393,1659,567,163,4,384.7
08136046,944,609,282,52,1,163.6
08136049,153,111,37,5,0,23.2
08136050,1967,1233,377,353,4,366
08136060,824,580,204,40,0,133.1
08136061,569,379,161,29,0,93.3
08136062,702,449,220,33,0,112.7
08136065,13285,7263,3531,2469,22,2623.7
08136066,1040,630,344,65,1,170.5
08136068,577,400,159,18,0,93.5
08136070,322,201,107,13,1,51.2
08136071,558,422,123,13,0,88.6
08136075,1492,1096,354,41,1,243.2
08136079,2030,1128,695,202,5,369.5
08136082,1772,1127,510,135,0,302.6
08136084,434,287,114,33,0,78.7
08136087,751,542,179,30,0,118
08136088,16067,9720,3932,2384,31,3065.3
08136089,942,598,281,62,1,161.4
08211000,11301,5674,2322,3279,26,2869.4
08212000,41722,20107,5937,15569,109,12814.9
08215000,116433,76098,24965,15266,104,21854.8
08215007,7346,4785,1557,999,5,1369.9
08215009,9893,5778,2120,1981,14,2075
08215017,8240,4579,1664,1993,4,1902.9
08215021,2217,1549,415,250,3,397.3
08215025,1058,748,223,86,1,187.6
08215029,1597,1102,376,118,1,276.6
08215039,1768,1268,355,144,1,297
08215040,759,537,185,36,1,120.9
08215046,3951,2515,943,492,1,710.1
08215047,1467,782,510,173,2,277.3
08215059,3081,2275,560,243,3,526.9
08215064,3851,2712,791,344,4,662.4
08215066,3383,2323,686,371,3,611.8
08215082,1514,1120,304,88,2,249.6
08215084,3974,2794,841,333,6,681.4
08215089,2792,1791,711,285,5,490.9
08215090,2729,1648,659,420,2,511
08215094,571,394,133,43,1,94
08215096,4371,2706,1112,549,4,798.5
08215097,4514,3168,1010,333,3,752.5
08215099,3319,2328,732,256,3,601.4
08215100,3353,2360,578,414,1,620.6
08215101,4952,3037,1252,659,4,892.1
08215102,3962,2686,573,697,6,823.9
08215103,2935,1931,687,316,1,534.5
08215105,3233,2387,464,380,2,593
08215106,5736,3673,1420,640,3,1076.3
08215107,2861,1932,701,226,2,489.4
08215108,5216,3170,1132,908,6,1019.5
08215109,6297,4434,1106,751,6,1174.5
08215110,3249,1860,790,595,4,679.2
08215111,2244,1726,375,143,0,356.7
08216000,56307,33144,14398,8704,61,11155.8
08216002,1071,734,247,90,0,186.7
08216005,1766,1102,410,254,0,316.1
08216006,801,442,223,135,1,153.9
08216007,7063,4249,1724,1085,5,1416.2
08216008,2235,1072,868,292,3,422.7
08216009,3123,2016,592,510,5,603.2
08216012,998,671,244,83,0,172.5
08216013,1514,848,516,150,0,255.9
08216015,7508,4258,2094,1149,7,1404.8
08216017,3724,2283,925,510,6,728.4
08216022,873,419,187,266,1,206.5
08216023,1347,768,378,200,1,259.2
08216024,2152,1256,546,347,3,415.5
08216028,1441,987,313,140,1,249.1
08216029,782,480,221,81,0,141.3
08216033,1735,1093,448,194,0,312
08216039,1421,908,389,122,2,254.8
08216041,1726,1081,458,185,2,310.4
08216043,8362,4401,1787,2153,21,2130.7
08216049,3144,1905,815,423,1,599.9
08216052,919,613,246,59,1,151.7
08216059,714,362,281,71,0,125.1
08216063,1888,1196,486,205,1,339.3
08221000,19906,8514,3182,8073,137,6147.9
08222000,41521,19351,5935,16098,137,12786.2
08225000,42768,29049,10226,3458,35,7343.2
08225001,1448,1032,289,125,2,240
08225002,1391,955,320,116,0,240.9
08225009,1941,1368,495,76,2,310.8
08225010,419,273,115,31,0,71.4
08225014,5080,3355,1262,458,5,911.3
08225024,919,649,234,35,1,150.3
08225032,1931,1262,509,159,1,342.2
08225033,1467,994,375,98,0,248.6
08225039,976,619,293,64,0,163.2
08225042,662,462,167,33,0,104.6
08225052,1474,1040,362,72,0,243
08225058,5986,3751,1331,885,19,1153.5
08225060,1639,1141,436,61,1,272.3
08225064,757,492,220,45,0,124.5
08225067,405,283,63,59,0,70.4
08225068,601,441,135,25,0,93.6
08225074,1626,1100,415,111,0,273.5
08225075,1796,1188,427,181,0,317
08225082,792,625,143,24,0,117.9
08225091,1303,884,326,93,0,214.5
08225109,3334,2246,757,330,1,583.5
08225113,236,150,64,22,0,38.8
08225114,994,759,201,34,0,160.6
08225115,1353,1015,291,46,1,212.2
08225116,660,447,152,59,2,114.3
08225117,1814,1194,479,141,0,308.7
08225118,1764,1324,365,75,0,261.6
08226000,136060,85079,28861,21999,121,27050
08226003,1790,1185,411,192,2,313.3
08226006,1671,1018,438,215,0,321
