ags,ars,municipality,port,inland_goods_transfer_t,inland_eev_diesel_mwh,inland_ghg_tco2e,overseas_goods_transfer_t,overseas_eev_fuel_mwh,overseas_ghg_tco2e,sum_ghg_tco2e
03254000,032540000000,Hildesheim Landkreis,Hildesheim Landkreis,489089.0,6045.792630414111,1611.1868077859954,0.0,0.0,0.0,1611.1868077859954
03256006,32565410006,Estorf,Estorf (Weser),473285.0,5850.434103170472,1559.1243072794418,0.0,0.0,0.0,1559.1243072794418
03256018,32565410018,Leese,Leese,191918.0,2372.3625557798587,632.2279785001762,0.0,0.0,0.0,632.2279785001762
03256022,32560022022,Nienburg (Weser),Nienburg (Weser),37536.0,463.9950442050917,123.65338009453316,0.0,0.0,0.0,123.65338009453316
03256028,32565409028,Schweringen,Schweringen,233162.0,2882.1934275614767,768.0964783035363,0.0,0.0,0.0,768.0964783035363
03256032,32565410032,Stolzenau,Stolzenau,924254.0,11425.01267014953,3044.7338865593733,0.0,0.0,0.0,3044.7338865593733
03256000,032560000000,Nienburg (Weser) Landkreis,Nienburg (Weser) Landkreis,1860155.0,22993.99780086643,6127.83603073706,0.0,0.0,0.0,6127.83603073706
03257009,32570009009,Bückeburg,Bückeburg,129995.0,1606.9116520524533,428.237455919353,0.0,0.0,0.0,428.237455919353
03257025,32575404025,Niedernwöhren,Niedernwöhren,42614.0,526.7658997697084,140.38163734410793,0.0,0.0,0.0,140.38163734410793
03257030,32575404030,Pollhagen,Pollhagen,16068.0,198.6219194982793,52.93218540491684,0.0,0.0,0.0,52.93218540491684
03257031,32570031031,Rinteln,Rinteln,5531.0,68.37054000155483,18.22055747290236,0.0,0.0,0.0,18.22055747290236
03257033,32575407033,Sachsenhagen,Sachsenhagen,287005.0,3547.76475016204,945.4693721768832,0.0,0.0,0.0,945.4693721768832
03257000,032570000000,Schaumburg Landkreis,Schaumburg Landkreis,481213.0,5948.434761484035,1585.2412083181632,0.0,0.0,0.0,1585.2412083181632
03355022,33550022022,Lüneburg,"Lüneburg, Hansestadt",230418.0,2848.273926248103,759.057026178126,0.0,0.0,0.0,759.057026178126
03355000,033550000000,Lüneburg Landkreis,Lüneburg Landkreis,230418.0,2848.273926248103,759.057026178126,0.0,0.0,0.0,759.057026178126
03357028,33575406028,Horstedt,Horstedt,391579.0,4840.438923028176,1289.9634197580244,0.0,0.0,0.0,1289.9634197580244
03357000,033570000000,Rotenburg (Wümme) Landkreis,Rotenburg (Wümme) Landkreis,391579.0,4840.438923028176,1289.9634197580244,0.0,0.0,0.0,1289.9634197580244
03359018,33595407018,Freiburg (Elbe),"Freiburg (Elbe), Flecken",2001.0,24.73502993005084,6.5918162182747455,0.0,0.0,0.0,6.5918162182747455
03359040,33595000000,Wischhafen,Wischhafen,0.0,0.0,0.0,6180.66,413.5812360359817,113.1558261794446,113.1558261794446
03359000,033590000000,Stade Landkreis,Stade Landkreis,2001.0,24.73502993005084,6.5918162182747455,6180.66,413.5812360359817,113.1558261794446,119.74764239771932
03360025,33600025025,Uelzen,Uelzen,252639.0,3122.9551356812167,832.2587993846643,0.0,0.0,0.0,832.2587993846643
03360000,033600000000,Uelzen Landkreis,Uelzen Landkreis,252639.0,3122.9551356812167,832.2587993846643,0.0,0.0,0.0,832.2587993846643
03361001,33610001001,Achim,Achim,7795.0,96.3566008519472,25.67876432856154,0.0,0.0,0.0,25.67876432856154
03361012,33610012012,Verden (Aller),Verden (Aller),94372.0,1166.5638403591995,310.88599707697364,0.0,0.0,0.0,310.88599707697364
03361000,033610000000,Verden Landkreis,Verden Landkreis,102167.0,1262.920441211147,336.5647614055352,0.0,0.0,0.0,336.5647614055352
03404000,34040000000,Osnabrück,Osnabrück,471465.0,5827.936474748336,1553.1287522983023,0.0,0.0,0.0,1553.1287522983023
03405000,34050000000,Wilhelmshaven,Wilhelmshaven,0.0,0.0,0.0,25532904.0,1708544.0706830758,467457.6577388896,467457.6577388896
03451004,3451,Edewecht,"Übrige Häfen, Landkreis Ammerland",107414.0,1327.7803622721044,353.8497487605014,0.0,0.0,0.0,353.8497487605014
03451000,034510000000,Ammerland Landkreis,Ammerland Landkreis,107414.0,1327.7803622721044,353.8497487605014,0.0,0.0,0.0,353.8497487605014
03452002,34520000000,Baltrum,Baltrum,0.0,0.0,0.0,8521.0,570.1859853579714,156.002885593941,156.002885593941
03452013,34520000000,Juist,Juist,0.0,0.0,0.0,35529.0,2377.4366710225754,650.4666731917766,650.4666731917766
03452019,34520000000,Norden,Norden,0.0,0.0,0.0,571422.0,38236.92244164097,10461.621980032967,10461.621980032967
03452020,34520000000,Norderney,Norderney,0.0,0.0,0.0,533012.0,35666.70254989122,9758.409817650238,9758.409817650238
03452027,34520000000,Dornum,Dornum,0.0,0.0,0.0,6169.0,412.8010026608761,112.94235432801572,112.94235432801572
03452000,034520000000,Aurich Landkreis,Aurich Landkreis,0.0,0.0,0.0,1154653.0,77264.04865057362,21139.44371079694,21139.44371079694
03453007,3453,Friesoythe,"Übrige Häfen, Landkreis Cloppenburg",400.0,4.944533719150593,1.3177043914592197,0.0,0.0,0.0,1.3177043914592197
03453013,34530013013,Saterland,Saterland,87719.0,1084.3238832754273,288.9692787860282,0.0,0.0,0.0,288.9692787860282
03453000,034530000000,Cloppenburg Landkreis,Cloppenburg Landkreis,88119.0,1089.2684169945778,290.28698317748746,0.0,0.0,0.0,290.28698317748746
03454004,34545406004,Bockhorst,Bockhorst,14743.0,182.243151553593,48.567289608208185,0.0,0.0,0.0,48.567289608208185
03454013,34545404013,Fresenburg,Fresenburg,51075.0,631.3551492640413,168.25437948444906,0.0,0.0,0.0,168.25437948444906
03454018,34540018018,Haren (Ems),Haren (Ems),3700.0,45.736936902142986,12.18876562099778,0.0,0.0,0.0,12.18876562099778
03454029,34545404029,Lathen,Lathen,2452.0,30.309991698393134,8.077527919645014,0.0,0.0,0.0,8.077527919645014
03454032,34540032032,Lingen (Ems),Lingen (Ems),2629062.0,32498.71427184374,8660.816357046395,0.0,0.0,0.0,8660.816357046395
03454035,34540035035,Meppen,Meppen,561953.0,6946.488892694583,1851.2198397342067,0.0,0.0,0.0,1851.2198397342067
03454049,34545408049,Spelle,Spelle,577911.0,7143.751065420095,1903.789656431472,0.0,0.0,0.0,1903.789656431472
03454000,034540000000,Emsland Landkreis,Emsland Landkreis,3840896.0,47478.59945937659,12652.913815845375,0.0,0.0,0.0,12652.913815845375
03455021,34550000000,Wangerooge,Wangerooge,0.0,0.0,0.0,40600.0,2716.7645822712875,743.3067897094243,743.3067897094243
03455000,034550000000,Friesland Landkreis,Friesland Landkreis,0.0,0.0,0.0,40600.0,2716.7645822712875,743.3067897094243,743.3067897094243
03457002,34570000000,Borkum,Borkum,0.0,0.0,0.0,2790.0,186.69392080140125,51.07945673126338,51.07945673126338
03457000,034570000000,Leer Landkreis,Leer Landkreis,0.0,0.0,0.0,2790.0,186.69392080140125,51.07945673126338,51.07945673126338
03458013,3458,Wardenburg,"Übrige Häfen, Landkreis Oldenburg",102852.0,1271.3879552051922,338.8213301759091,0.0,0.0,0.0,338.8213301759091
03458000,034580000000,Oldenburg Landkreis,Oldenburg Landkreis,102852.0,1271.3879552051922,338.8213301759091,0.0,0.0,0.0,338.8213301759091
03459003,34590003003,Bad Essen,Bad Essen,59324.0,733.3237958872245,195.42873829731684,0.0,0.0,0.0,195.42873829731684
03459014,34590014014,Bramsche,Bramsche,969938.0,11989.72786621372,3195.2289051079306,0.0,0.0,0.0,3195.2289051079306
03459000,034590000000,Osnabrück Landkreis,Osnabrück Landkreis,1029262.0,12723.051662100945,3390.657643405248,0.0,0.0,0.0,3390.657643405248
03461004,34610004004,Elsfleth,Elsfleth,33888.0,418.9008966864383,111.63591604442507,0.0,0.0,0.0,111.63591604442507
